case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen
"sudah sampai, packing aman. dapet free penjepit bulu mata thank you",sudah sampai packing aman dapet free penjepit bulu mata thank you,sudah sampai packing aman dapat free penjepit bulu mata thank you,"['sudah', 'sampai', 'packing', 'aman', 'dapat', 'free', 'penjepit', 'bulu', 'mata', 'thank', 'you']","['packing', 'aman', 'penjepit', 'bulu', 'thank']","['packing', 'aman', 'jepit', 'bulu', 'thank']",packing aman jepit bulu thank,"{'classified_text': 'packing aman [4] jepit bulu [-1] thank', 'tweet_text': ' packing aman jepit bulu thank', 'sentence_score': ['packing aman [4] jepit bulu [-1] thank'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"dapet harga 15rb. pengiriman cepat, teruntuk kurir gtl terima kasih tetap mau anter walaupun udah jam 10 malem, krn hujan seharian jadi harus lemburr.",dapet harga rb pengiriman cepat teruntuk kurir gtl terima kasih tetap mau anter walaupun udah jam malem krn hujan seharian jadi harus lemburr,dapat harga ribu pengiriman cepat teruntuk kurir gtl terima kasih tetap mau anter walaupun sudah jam malam karena hujan seharian jadi harus lembur,"['dapat', 'harga', 'ribu', 'pengiriman', 'cepat', 'teruntuk', 'kurir', 'gtl', 'terima', 'kasih', 'tetap', 'mau', 'anter', 'walaupun', 'sudah', 'jam', 'malam', 'karena', 'hujan', 'seharian', 'jadi', 'harus', 'lembur']","['harga', 'pengiriman', 'cepat', 'teruntuk', 'kurir', 'gtl', 'terima', 'kasih', 'anter', 'malam', 'hujan', 'seharian', 'lembur']","['harga', 'kirim', 'cepat', 'untuk', 'kurir', 'gtl', 'terima', 'kasih', 'anter', 'malam', 'hujan', 'hari', 'lembur']",harga kirim cepat untuk kurir gtl terima kasih anter malam hujan hari lembur,"{'classified_text': 'harga kirim cepat [4] untuk kurir gtl terima kasih [4] anter malam hujan hari lembur', 'tweet_text': ' harga kirim cepat untuk kurir gtl terima kasih anter malam hujan hari lembur', 'sentence_score': ['harga kirim cepat [4] untuk kurir gtl terima kasih [4] anter malam hujan hari lembur'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"dapet harga 10rb. pengiriman cepat, teruntuk kurir gtr terima kasih tetap mau anter walaupun udah jam 10 malem, krn hujan seharian jadi harus lemburr.",dapet harga rb pengiriman cepat teruntuk kurir gtr terima kasih tetap mau anter walaupun udah jam malem krn hujan seharian jadi harus lemburr,dapat harga ribu pengiriman cepat teruntuk kurir gtr terima kasih tetap mau anter walaupun sudah jam malam karena hujan seharian jadi harus lembur,"['dapat', 'harga', 'ribu', 'pengiriman', 'cepat', 'teruntuk', 'kurir', 'gtr', 'terima', 'kasih', 'tetap', 'mau', 'anter', 'walaupun', 'sudah', 'jam', 'malam', 'karena', 'hujan', 'seharian', 'jadi', 'harus', 'lembur']","['harga', 'pengiriman', 'cepat', 'teruntuk', 'kurir', 'gtr', 'terima', 'kasih', 'anter', 'malam', 'hujan', 'seharian', 'lembur']","['harga', 'kirim', 'cepat', 'untuk', 'kurir', 'gtr', 'terima', 'kasih', 'anter', 'malam', 'hujan', 'hari', 'lembur']",harga kirim cepat untuk kurir gtr terima kasih anter malam hujan hari lembur,"{'classified_text': 'harga kirim cepat [4] untuk kurir gtr terima kasih [4] anter malam hujan hari lembur', 'tweet_text': ' harga kirim cepat untuk kurir gtr terima kasih anter malam hujan hari lembur', 'sentence_score': ['harga kirim cepat [4] untuk kurir gtr terima kasih [4] anter malam hujan hari lembur'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"simple buat dibawa kemana mana, dan bisa dipakai tanpa cuci tangan",simple buat dibawa kemana mana dan bisa dipakai tanpa cuci tangan,simple buat dibawa kemana mana dan bisa dipakai tanpa cuci tangan,"['simple', 'buat', 'dibawa', 'kemana', 'mana', 'dan', 'bisa', 'dipakai', 'tanpa', 'cuci', 'tangan']","['simple', 'dibawa', 'kemana', 'dipakai', 'cuci', 'tangan']","['simple', 'bawa', 'mana', 'pakai', 'cuci', 'tangan']",simple bawa mana pakai cuci tangan,"{'classified_text': 'simple bawa mana [-4] pakai cuci tangan', 'tweet_text': ' simple bawa mana pakai cuci tangan', 'sentence_score': ['simple bawa mana [-4] pakai cuci tangan'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
"sesuai namanya matte banget, bener transferproof, bisa tahan seharian.",sesuai namanya matte banget bener transferproof bisa tahan seharian,sesuai namanya matte banget benar transferproof bisa tahan seharian,"['sesuai', 'namanya', 'matte', 'banget', 'benar', 'transferproof', 'bisa', 'tahan', 'seharian']","['namanya', 'matte', 'banget', 'transferproof', 'tahan', 'seharian']","['nama', 'matte', 'banget', 'transferproof', 'tahan', 'hari']",nama matte banget transferproof tahan hari,"{'classified_text': 'nama matte banget transferproof tahan hari', 'tweet_text': ' nama matte banget transferproof tahan hari', 'sentence_score': ['nama matte banget transferproof tahan hari'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar
wrappingnya rapih bubble wrap dan bersegel.. senangnya",tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar wrappingnya rapih bubble wrap dan bersegel senangnya,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar wrappingnya rapi bubble wrap dan bersegel senangnya,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'wrappingnya', 'rapi', 'bubble', 'wrap', 'dan', 'bersegel', 'senangnya']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat', 'kulitku', 'pori', 'wrappingnya', 'rapi', 'bubble', 'wrap', 'bersegel', 'senangnya']","['tipe', 'kulit', 'minyak', 'kulit', 'jerawat', 'kulit', 'pori', 'wrappingnya', 'rapi', 'bubble', 'wrap', 'segel', 'senang']",tipe kulit minyak kulit jerawat kulit pori wrappingnya rapi bubble wrap segel senang,"{'classified_text': 'tipe kulit minyak kulit jerawat kulit pori wrappingnya rapi [4] bubble wrap segel senang [4]', 'tweet_text': ' tipe kulit minyak kulit jerawat kulit pori wrappingnya rapi bubble wrap segel senang', 'sentence_score': ['tipe kulit minyak kulit jerawat kulit pori wrappingnya rapi [4] bubble wrap segel senang [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bagussssssss bneran dpt kipas mini super lucuuuu semiga cocok acne hempasssss,bagussssssss bneran dpt kipas mini super lucuuuu semiga cocok acne hempasssss,bagus benaran dapat kipas mini super lucu semiga cocok acne hempas,"['bagus', 'benaran', 'dapat', 'kipas', 'mini', 'super', 'lucu', 'semiga', 'cocok', 'acne', 'hempas']","['bagus', 'benaran', 'kipas', 'mini', 'super', 'lucu', 'semiga', 'cocok', 'acne', 'hempas']","['bagus', 'benar', 'kipas', 'mini', 'super', 'lucu', 'semiga', 'cocok', 'acne', 'hempas']",bagus benar kipas mini super lucu semiga cocok acne hempas,"{'classified_text': 'bagus [4] benar [5] kipas mini super [4] lucu [5] semiga cocok [3] acne hempas', 'tweet_text': ' bagus benar kipas mini super lucu semiga cocok acne hempas', 'sentence_score': ['bagus [4] benar [5] kipas mini super [4] lucu [5] semiga cocok [3] acne hempas'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
"tipe kulitku normal
cocok pakai ini...

paket aman...
pelayanan oke...

ada bubble wrap..",tipe kulitku normal cocok pakai ini paket aman pelayanan oke ada bubble wrap,tipe kulitku normal cocok pakai ini paket aman pelayanan oke ada bubble wrap,"['tipe', 'kulitku', 'normal', 'cocok', 'pakai', 'ini', 'paket', 'aman', 'pelayanan', 'oke', 'ada', 'bubble', 'wrap']","['tipe', 'kulitku', 'normal', 'cocok', 'pakai', 'paket', 'aman', 'pelayanan', 'oke', 'bubble', 'wrap']","['tipe', 'kulit', 'normal', 'cocok', 'pakai', 'paket', 'aman', 'layan', 'oke', 'bubble', 'wrap']",tipe kulit normal cocok pakai paket aman layan oke bubble wrap,"{'classified_text': 'tipe kulit normal [-1] cocok [3] pakai paket aman [4] layan oke [3] bubble wrap', 'tweet_text': ' tipe kulit normal cocok pakai paket aman layan oke bubble wrap', 'sentence_score': ['tipe kulit normal [-1] cocok [3] pakai paket aman [4] layan oke [3] bubble wrap'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"pas shadenya, tahan seharian, full coverage, nahan minyak, hasilnya ga kaya pake foundi tp alus alami. tipe kulitku  kombinasi.",pas shadenya tahan seharian full coverage nahan minyak hasilnya ga kaya pake foundi tp alus alami tipe kulitku kombinasi,pas shadenya tahan seharian full coverage menahan minyak hasilnya enggak kayak pakai foundi tapi alus alami tipe kulitku kombinasi,"['pas', 'shadenya', 'tahan', 'seharian', 'full', 'coverage', 'menahan', 'minyak', 'hasilnya', 'enggak', 'kayak', 'pakai', 'foundi', 'tapi', 'alus', 'alami', 'tipe', 'kulitku', 'kombinasi']","['shadenya', 'tahan', 'seharian', 'full', 'coverage', 'menahan', 'minyak', 'hasilnya', 'pakai', 'foundi', 'alus', 'alami', 'tipe', 'kulitku', 'kombinasi']","['shadenya', 'tahan', 'hari', 'full', 'coverage', 'tahan', 'minyak', 'hasil', 'pakai', 'foundi', 'alus', 'alami', 'tipe', 'kulit', 'kombinasi']",shadenya tahan hari full coverage tahan minyak hasil pakai foundi alus alami tipe kulit kombinasi,"{'classified_text': 'shadenya tahan hari full coverage tahan minyak hasil pakai foundi alus alami tipe kulit kombinasi', 'tweet_text': ' shadenya tahan hari full coverage tahan minyak hasil pakai foundi alus alami tipe kulit kombinasi', 'sentence_score': ['shadenya tahan hari full coverage tahan minyak hasil pakai foundi alus alami tipe kulit kombinasi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
selalu jatuh cinta sama produk somethinc 🩷,selalu jatuh cinta sama produk somethinc,selalu jatuh cinta sama produk somethinc,"['selalu', 'jatuh', 'cinta', 'sama', 'produk', 'somethinc']","['jatuh', 'cinta', 'produk', 'somethinc']","['jatuh', 'cinta', 'produk', 'somethinc']",jatuh cinta produk somethinc,"{'classified_text': 'jatuh [-3] cinta [5] produk somethinc', 'tweet_text': ' jatuh cinta produk somethinc', 'sentence_score': ['jatuh [-3] cinta [5] produk somethinc'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
jatuh cinta banget sama produk2 somethinc 🩷,jatuh cinta banget sama produk somethinc,jatuh cinta banget sama produk somethinc,"['jatuh', 'cinta', 'banget', 'sama', 'produk', 'somethinc']","['jatuh', 'cinta', 'banget', 'produk', 'somethinc']","['jatuh', 'cinta', 'banget', 'produk', 'somethinc']",jatuh cinta banget produk somethinc,"{'classified_text': 'jatuh [-3] cinta [6] banget produk somethinc', 'tweet_text': ' jatuh cinta banget produk somethinc', 'sentence_score': ['jatuh [-3] cinta [6] banget produk somethinc'], 'max_positive': 6, 'max_negative': -3, 'kelas': 'positif'}"
"semoga cocok, packaging aman",semoga cocok packaging aman,semoga cocok packaging aman,"['semoga', 'cocok', 'packaging', 'aman']","['semoga', 'cocok', 'packaging', 'aman']","['moga', 'cocok', 'packaging', 'aman']",moga cocok packaging aman,"{'classified_text': 'moga cocok [3] packaging aman [4]', 'tweet_text': ' moga cocok packaging aman', 'sentence_score': ['moga cocok [3] packaging aman [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"kirimnya cpt, brg sesuai. lumayan dpt hrg flashsale. packing oke bgt ada bubble plus dus. sip.",kirimnya cpt brg sesuai lumayan dpt hrg flashsale packing oke bgt ada bubble plus dus sip,kirimnya cepat barang sesuai lumayan dapat harga flashsale packing oke banget ada bubble plus dus sip,"['kirimnya', 'cepat', 'barang', 'sesuai', 'lumayan', 'dapat', 'harga', 'flashsale', 'packing', 'oke', 'banget', 'ada', 'bubble', 'plus', 'dus', 'sip']","['kirimnya', 'cepat', 'lumayan', 'harga', 'flashsale', 'packing', 'oke', 'banget', 'bubble', 'plus', 'dus', 'sip']","['kirim', 'cepat', 'lumayan', 'harga', 'flashsale', 'packing', 'oke', 'banget', 'bubble', 'plus', 'dus', 'sip']",kirim cepat lumayan harga flashsale packing oke banget bubble plus dus sip,"{'classified_text': 'kirim cepat [4] lumayan [2] harga flashsale packing oke [4] banget bubble plus dus sip', 'tweet_text': ' kirim cepat lumayan harga flashsale packing oke banget bubble plus dus sip', 'sentence_score': ['kirim cepat [4] lumayan [2] harga flashsale packing oke [4] banget bubble plus dus sip'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"masalah kulitku jerawat  baru mau coba, smoga cocok",masalah kulitku jerawat baru mau coba smoga cocok,masalah kulitku jerawat baru mau coba semoga cocok,"['masalah', 'kulitku', 'jerawat', 'baru', 'mau', 'coba', 'semoga', 'cocok']","['kulitku', 'jerawat', 'coba', 'semoga', 'cocok']","['kulit', 'jerawat', 'coba', 'moga', 'cocok']",kulit jerawat coba moga cocok,"{'classified_text': 'kulit jerawat coba moga cocok [3]', 'tweet_text': ' kulit jerawat coba moga cocok', 'sentence_score': ['kulit jerawat coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
"baru coba, jadi belom ada koment",baru coba jadi belom ada koment,baru coba jadi belum ada komentar,"['baru', 'coba', 'jadi', 'belum', 'ada', 'komentar']","['coba', 'komentar']","['coba', 'komentar']",coba komentar,"{'classified_text': 'coba komentar', 'tweet_text': ' coba komentar', 'sentence_score': ['coba komentar'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
cepat sekali datangnya..,cepat sekali datangnya,cepat sekali datangnya,"['cepat', 'sekali', 'datangnya']","['cepat', 'datangnya']","['cepat', 'datang']",cepat datang,"{'classified_text': 'cepat [4] datang', 'tweet_text': ' cepat datang', 'sentence_score': ['cepat [4] datang'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"paket sudah sampai, packagingnya bagus, meskipun order 1 tp diberikan box jadi aman. produk belum dicoba. sering sering adain diskon ya kak, thanks seller",paket sudah sampai packagingnya bagus meskipun order tp diberikan box jadi aman produk belum dicoba sering sering adain diskon ya kak thanks seller,paket sudah sampai packagingnya bagus meskipun order tapi diberikan box jadi aman produk belum dicoba sering sering mengadakan diskon ya kak thanks seller,"['paket', 'sudah', 'sampai', 'packagingnya', 'bagus', 'meskipun', 'order', 'tapi', 'diberikan', 'box', 'jadi', 'aman', 'produk', 'belum', 'dicoba', 'sering', 'sering', 'mengadakan', 'diskon', 'ya', 'kak', 'thanks', 'seller']","['paket', 'packagingnya', 'bagus', 'order', 'box', 'aman', 'produk', 'dicoba', 'mengadakan', 'diskon', 'thanks', 'seller']","['paket', 'packagingnya', 'bagus', 'order', 'box', 'aman', 'produk', 'coba', 'ada', 'diskon', 'thanks', 'seller']",paket packagingnya bagus order box aman produk coba ada diskon thanks seller,"{'classified_text': 'paket packagingnya bagus [4] order box aman [4] produk coba ada diskon thanks seller', 'tweet_text': ' paket packagingnya bagus order box aman produk coba ada diskon thanks seller', 'sentence_score': ['paket packagingnya bagus [4] order box aman [4] produk coba ada diskon thanks seller'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"pengemasan baik,,brang bagus,,belum dicoba..semoga cocok..",pengemasan baik brang bagus belum dicoba semoga cocok,pengemasan baik brang bagus belum dicoba semoga cocok,"['pengemasan', 'baik', 'brang', 'bagus', 'belum', 'dicoba', 'semoga', 'cocok']","['pengemasan', 'brang', 'bagus', 'dicoba', 'semoga', 'cocok']","['emas', 'brang', 'bagus', 'coba', 'moga', 'cocok']",emas brang bagus coba moga cocok,"{'classified_text': 'emas [4] brang bagus [4] coba moga cocok [3]', 'tweet_text': ' emas brang bagus coba moga cocok', 'sentence_score': ['emas [4] brang bagus [4] coba moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"pengemasan baik,,tpi blum dicoba semoga cocok",pengemasan baik tpi blum dicoba semoga cocok,pengemasan baik tapi belum dicoba semoga cocok,"['pengemasan', 'baik', 'tapi', 'belum', 'dicoba', 'semoga', 'cocok']","['pengemasan', 'dicoba', 'semoga', 'cocok']","['emas', 'coba', 'moga', 'cocok']",emas coba moga cocok,"{'classified_text': 'emas [4] coba moga cocok [3]', 'tweet_text': ' emas coba moga cocok', 'sentence_score': ['emas [4] coba moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tumben belanja banyak ga dapet bonus,tumben belanja banyak ga dapet bonus,tumben belanja banyak enggak dapat bonus,"['tumben', 'belanja', 'banyak', 'enggak', 'dapat', 'bonus']","['tumben', 'belanja', 'bonus']","['tumben', 'belanja', 'bonus']",tumben belanja bonus,"{'classified_text': 'tumben belanja bonus [3]', 'tweet_text': ' tumben belanja bonus', 'sentence_score': ['tumben belanja bonus [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pas dpt flash sale.....ok bener .....ringan dipakai tq ya gan,pas dpt flash sale ok bener ringan dipakai tq ya gan,pas dapat flash sale ok benar ringan dipakai terima kasih ya gan,"['pas', 'dapat', 'flash', 'sale', 'ok', 'benar', 'ringan', 'dipakai', 'terima', 'kasih', 'ya', 'gan']","['flash', 'sale', 'ringan', 'dipakai', 'terima', 'kasih', 'gan']","['flash', 'sale', 'ringan', 'pakai', 'terima', 'kasih', 'gan']",flash sale ringan pakai terima kasih gan,"{'classified_text': 'flash sale ringan pakai terima kasih [4] gan', 'tweet_text': ' flash sale ringan pakai terima kasih gan', 'sentence_score': ['flash sale ringan pakai terima kasih [4] gan'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
mantappp.. dapet pas flash sale cuma 120rban..,mantappp dapet pas flash sale cuma rban,mantap dapat pas flash sale cuma rban,"['mantap', 'dapat', 'pas', 'flash', 'sale', 'cuma', 'rban']","['mantap', 'flash', 'sale', 'rban']","['mantap', 'flash', 'sale', 'rban']",mantap flash sale rban,"{'classified_text': 'mantap [4] flash sale rban', 'tweet_text': ' mantap flash sale rban', 'sentence_score': ['mantap [4] flash sale rban'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"ok sesuai pesanan, somethinc ini lembut dan lembab tidak kering di bibir matte nya bagus.",ok sesuai pesanan somethinc ini lembut dan lembab tidak kering di bibir matte nya bagus,ok sesuai pesanan somethinc ini lembut dan lembab tidak kering di bibir matte nya bagus,"['ok', 'sesuai', 'pesanan', 'somethinc', 'ini', 'lembut', 'dan', 'lembab', 'tidak', 'kering', 'di', 'bibir', 'matte', 'nya', 'bagus']","['pesanan', 'somethinc', 'lembut', 'lembab', 'kering', 'bibir', 'matte', 'bagus']","['pesan', 'somethinc', 'lembut', 'lembab', 'kering', 'bibir', 'matte', 'bagus']",pesan somethinc lembut lembab kering bibir matte bagus,"{'classified_text': 'pesan somethinc lembut [4] lembab kering bibir matte bagus [4]', 'tweet_text': ' pesan somethinc lembut lembab kering bibir matte bagus', 'sentence_score': ['pesan somethinc lembut [4] lembab kering bibir matte bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
thank you somethinc buat giftnyaaa,thank you somethinc buat giftnyaaa,thank you somethinc buat giftnya,"['thank', 'you', 'somethinc', 'buat', 'giftnya']","['thank', 'somethinc', 'giftnya']","['thank', 'somethinc', 'giftnya']",thank somethinc giftnya,"{'classified_text': 'thank somethinc giftnya', 'tweet_text': ' thank somethinc giftnya', 'sentence_score': ['thank somethinc giftnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tipe kulitku berminyak tipe kulitku kombinasi,tipe kulitku berminyak tipe kulitku kombinasi,tipe kulitku berminyak tipe kulitku kombinasi,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'kombinasi']",tipe kulit minyak tipe kulit kombinasi,"{'classified_text': 'tipe kulit minyak tipe kulit kombinasi', 'tweet_text': ' tipe kulit minyak tipe kulit kombinasi', 'sentence_score': ['tipe kulit minyak tipe kulit kombinasi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
isinya seuprit 😂😂😂😂,isinya seuprit,isinya sedikit,"['isinya', 'sedikit']",['isinya'],['isi'],isi,"{'classified_text': 'isi', 'tweet_text': ' isi', 'sentence_score': ['isi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
packaging nya mantap.....,packaging nya mantap,packaging nya mantap,"['packaging', 'nya', 'mantap']","['packaging', 'mantap']","['packaging', 'mantap']",packaging mantap,"{'classified_text': 'packaging mantap [4]', 'tweet_text': ' packaging mantap', 'sentence_score': ['packaging mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bgus bgt..lg suka sm produk somethinc..mksh,bgus bgt lg suka sm produk somethinc mksh,bagus banget lagi suka sama produk somethinc terima kasih,"['bagus', 'banget', 'lagi', 'suka', 'sama', 'produk', 'somethinc', 'terima', 'kasih']","['bagus', 'banget', 'suka', 'produk', 'somethinc', 'terima', 'kasih']","['bagus', 'banget', 'suka', 'produk', 'somethinc', 'terima', 'kasih']",bagus banget suka produk somethinc terima kasih,"{'classified_text': 'bagus [5] banget suka [5] produk somethinc terima kasih [4]', 'tweet_text': ' bagus banget suka produk somethinc terima kasih', 'sentence_score': ['bagus [5] banget suka [5] produk somethinc terima kasih [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
brg sesuai pesanan,brg sesuai pesanan,barang sesuai pesanan,"['barang', 'sesuai', 'pesanan']",['pesanan'],['pesan'],pesan,"{'classified_text': 'pesan', 'tweet_text': ' pesan', 'sentence_score': ['pesan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"bagus lah, istri tidak komplain.",bagus lah istri tidak komplain,bagus lah istri tidak komplain,"['bagus', 'lah', 'istri', 'tidak', 'komplain']","['bagus', 'istri', 'komplain']","['bagus', 'istri', 'komplain']",bagus istri komplain,"{'classified_text': 'bagus [4] istri komplain', 'tweet_text': ' bagus istri komplain', 'sentence_score': ['bagus [4] istri komplain'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
semoga cocok. packing super aman. pengiriman super cepat. expired aman.,semoga cocok packing super aman pengiriman super cepat expired aman,semoga cocok packing super aman pengiriman super cepat expired aman,"['semoga', 'cocok', 'packing', 'super', 'aman', 'pengiriman', 'super', 'cepat', 'expired', 'aman']","['semoga', 'cocok', 'packing', 'super', 'aman', 'pengiriman', 'super', 'cepat', 'expired', 'aman']","['moga', 'cocok', 'packing', 'super', 'aman', 'kirim', 'super', 'cepat', 'expired', 'aman']",moga cocok packing super aman kirim super cepat expired aman,"{'classified_text': 'moga cocok [3] packing super [4] aman [5] kirim super [4] cepat [5] expired aman [4]', 'tweet_text': ' moga cocok packing super aman kirim super cepat expired aman', 'sentence_score': ['moga cocok [3] packing super [4] aman [5] kirim super [4] cepat [5] expired aman [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku kombinasi masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'kulitku', 'pori']","['tipe', 'kulit', 'kombinasi', 'kulit', 'pori']",tipe kulit kombinasi kulit pori,"{'classified_text': 'tipe kulit kombinasi kulit pori', 'tweet_text': ' tipe kulit kombinasi kulit pori', 'sentence_score': ['tipe kulit kombinasi kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"imut bgt ternyata...warna match untuk kulit sawo matsng, ringan di gunakan ada sensasi sdikit aroma mint",imut bgt ternyata warna match untuk kulit sawo matsng ringan di gunakan ada sensasi sdikit aroma mint,imut banget ternyata warna match untuk kulit sawo matang ringan di gunakan ada sensasi sedikit aroma mint,"['imut', 'banget', 'ternyata', 'warna', 'match', 'untuk', 'kulit', 'sawo', 'matang', 'ringan', 'di', 'gunakan', 'ada', 'sensasi', 'sedikit', 'aroma', 'mint']","['imut', 'banget', 'warna', 'match', 'kulit', 'sawo', 'matang', 'ringan', 'sensasi', 'aroma', 'mint']","['imut', 'banget', 'warna', 'match', 'kulit', 'sawo', 'matang', 'ringan', 'sensasi', 'aroma', 'mint']",imut banget warna match kulit sawo matang ringan sensasi aroma mint,"{'classified_text': 'imut [5] banget warna match kulit sawo matang ringan sensasi [-2] aroma mint', 'tweet_text': ' imut banget warna match kulit sawo matang ringan sensasi aroma mint', 'sentence_score': ['imut [5] banget warna match kulit sawo matang ringan sensasi [-2] aroma mint'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
loose powdernya oke banget sih 🥹 super luv sama somethinc,loose powdernya oke banget sih super luv sama somethinc,loose powdernya oke banget sih super love sama somethinc,"['loose', 'powdernya', 'oke', 'banget', 'sih', 'super', 'love', 'sama', 'somethinc']","['loose', 'powdernya', 'oke', 'banget', 'super', 'love', 'somethinc']","['loose', 'powdernya', 'oke', 'banget', 'super', 'love', 'somethinc']",loose powdernya oke banget super love somethinc,"{'classified_text': 'loose powdernya oke [4] banget super [5] love somethinc', 'tweet_text': ' loose powdernya oke banget super love somethinc', 'sentence_score': ['loose powdernya oke [4] banget super [5] love somethinc'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
pengiriman cpt aman tdk pecah. pump up bottle lbh hygiene dari pipet. texture cpt menyerap tdk lengket tdk berbau (fragrance free). ada sdikit rasa ketarik harus di layer pelembab yg netral/soothing,pengiriman cpt aman tdk pecah pump up bottle lbh hygiene dari pipet texture cpt menyerap tdk lengket tdk berbau fragrance free ada sdikit rasa ketarik harus di layer pelembab yg netral soothing,pengiriman cepat aman tidak pecah pump up bottle lebih higenis dari pipet texture cepat menyerap tidak lengket tidak berbau fragrance free ada sedikit rasa tertarik harus di layer pelembab yang netral soothing,"['pengiriman', 'cepat', 'aman', 'tidak', 'pecah', 'pump', 'up', 'bottle', 'lebih', 'higenis', 'dari', 'pipet', 'texture', 'cepat', 'menyerap', 'tidak', 'lengket', 'tidak', 'berbau', 'fragrance', 'free', 'ada', 'sedikit', 'rasa', 'tertarik', 'harus', 'di', 'layer', 'pelembab', 'yang', 'netral', 'soothing']","['pengiriman', 'cepat', 'aman', 'pecah', 'pump', 'up', 'bottle', 'higenis', 'pipet', 'texture', 'cepat', 'menyerap', 'lengket', 'berbau', 'fragrance', 'tertarik', 'layer', 'pelembab', 'netral', 'soothing']","['kirim', 'cepat', 'aman', 'pecah', 'pump', 'up', 'bottle', 'higenis', 'pipet', 'texture', 'cepat', 'serap', 'lengket', 'bau', 'fragrance', 'tarik', 'layer', 'pelembab', 'netral', 'soothing']",kirim cepat aman pecah pump up bottle higenis pipet texture cepat serap lengket bau fragrance tarik layer pelembab netral soothing,"{'classified_text': 'kirim cepat [4] aman [5] pecah [-2] pump up bottle higenis pipet texture cepat [4] serap lengket bau [-4] fragrance tarik layer pelembab netral soothing', 'tweet_text': ' kirim cepat aman pecah pump up bottle higenis pipet texture cepat serap lengket bau fragrance tarik layer pelembab netral soothing', 'sentence_score': ['kirim cepat [4] aman [5] pecah [-2] pump up bottle higenis pipet texture cepat [4] serap lengket bau [-4] fragrance tarik layer pelembab netral soothing'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
