case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
cocok banget kulit jadi lembab..lebih fresh,cocok banget kulit jadi lembab lebih fresh,cocok banget kulit jadi lembab lebih fresh,"['cocok', 'banget', 'kulit', 'jadi', 'lembab', 'lebih', 'fresh']","['cocok', 'banget', 'kulit', 'lembab', 'fresh']","['cocok', 'banget', 'kulit', 'lembab', 'fresh']",cocok banget kulit lembab fresh,"{'classified_text': 'cocok [4] banget kulit lembab fresh', 'tweet_text': ' cocok banget kulit lembab fresh', 'sentence_score': ['cocok [4] banget kulit lembab fresh'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",cocok [4] banget kulit lembab fresh, cocok banget kulit lembab fresh,['cocok [4] banget kulit lembab fresh'],4,-1,positif
selalu cocok dengan produk azarine,selalu cocok dengan produk azarine,selalu cocok dengan produk azarine,"['selalu', 'cocok', 'dengan', 'produk', 'azarine']","['cocok', 'produk', 'azarine']","['cocok', 'produk', 'azarine']",cocok produk azarine,"{'classified_text': 'cocok [3] produk azarine', 'tweet_text': ' cocok produk azarine', 'sentence_score': ['cocok [3] produk azarine'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] produk azarine, cocok produk azarine,['cocok [3] produk azarine'],3,-1,positif
tipe kulitku normal,tipe kulitku normal,tipe kulitku normal,"['tipe', 'kulitku', 'normal']","['tipe', 'kulitku', 'normal']","['tipe', 'kulit', 'normal']",tipe kulit normal,"{'classified_text': 'tipe kulit normal [-1]', 'tweet_text': ' tipe kulit normal', 'sentence_score': ['tipe kulit normal [-1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit normal [-1], tipe kulit normal,['tipe kulit normal [-1]'],1,-1,netral
cepet banget nyerapnya. cocok buat kulit berminyak jerawatan ga bikin lengket. suncreen terfavorit,cepet banget nyerapnya cocok buat kulit berminyak jerawatan ga bikin lengket suncreen terfavorit,cepat banget nyerapnya cocok buat kulit berminyak jerawatan enggak bikin lengket suncreen terfavorit,"['cepat', 'banget', 'nyerapnya', 'cocok', 'buat', 'kulit', 'berminyak', 'jerawatan', 'enggak', 'bikin', 'lengket', 'suncreen', 'terfavorit']","['cepat', 'banget', 'nyerapnya', 'cocok', 'kulit', 'berminyak', 'jerawatan', 'lengket', 'suncreen', 'terfavorit']","['cepat', 'banget', 'nyerapnya', 'cocok', 'kulit', 'minyak', 'jerawat', 'lengket', 'suncreen', 'favorit']",cepat banget nyerapnya cocok kulit minyak jerawat lengket suncreen favorit,"{'classified_text': 'cepat [5] banget nyerapnya cocok [3] kulit minyak jerawat lengket suncreen favorit', 'tweet_text': ' cepat banget nyerapnya cocok kulit minyak jerawat lengket suncreen favorit', 'sentence_score': ['cepat [5] banget nyerapnya cocok [3] kulit minyak jerawat lengket suncreen favorit'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",cepat [5] banget nyerapnya cocok [3] kulit minyak jerawat lengket suncreen favorit, cepat banget nyerapnya cocok kulit minyak jerawat lengket suncreen favorit,['cepat [5] banget nyerapnya cocok [3] kulit minyak jerawat lengket suncreen favorit'],5,-1,positif
ringan,ringan,ringan,['ringan'],['ringan'],['ringan'],ringan,"{'classified_text': 'ringan', 'tweet_text': ' ringan', 'sentence_score': ['ringan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",ringan, ringan,['ringan'],1,-1,netral
bahannya ringan..mufah dserap kulit..terasa ringan dan wanginya enak..bagus untuk menghadap uv a dan uv b  tipe kulitku kombinasi,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv dan uv tipe kulitku kombinasi,bahannya ringan mufah dserap kulit terasa ringan dan wanginya enak bagus untuk menghadap uv dan uv tipe kulitku kombinasi,"['bahannya', 'ringan', 'mufah', 'dserap', 'kulit', 'terasa', 'ringan', 'dan', 'wanginya', 'enak', 'bagus', 'untuk', 'menghadap', 'uv', 'dan', 'uv', 'tipe', 'kulitku', 'kombinasi']","['bahannya', 'ringan', 'mufah', 'dserap', 'kulit', 'ringan', 'wanginya', 'bagus', 'menghadap', 'uv', 'uv', 'tipe', 'kulitku', 'kombinasi']","['bahan', 'ringan', 'mufah', 'dserap', 'kulit', 'ringan', 'wangi', 'bagus', 'hadap', 'uv', 'uv', 'tipe', 'kulit', 'kombinasi']",bahan ringan mufah dserap kulit ringan wangi bagus hadap uv uv tipe kulit kombinasi,"{'classified_text': 'bahan ringan mufah dserap kulit ringan wangi bagus [4] hadap uv uv tipe kulit kombinasi', 'tweet_text': ' bahan ringan mufah dserap kulit ringan wangi bagus hadap uv uv tipe kulit kombinasi', 'sentence_score': ['bahan ringan mufah dserap kulit ringan wangi bagus [4] hadap uv uv tipe kulit kombinasi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bahan ringan mufah dserap kulit ringan wangi bagus [4] hadap uv uv tipe kulit kombinasi, bahan ringan mufah dserap kulit ringan wangi bagus hadap uv uv tipe kulit kombinasi,['bahan ringan mufah dserap kulit ringan wangi bagus [4] hadap uv uv tipe kulit kombinasi'],4,-1,positif
barang sesuai deskripsi,barang sesuai deskripsi,barang sesuai deskripsi,"['barang', 'sesuai', 'deskripsi']",['deskripsi'],['deskripsi'],deskripsi,"{'classified_text': 'deskripsi', 'tweet_text': ' deskripsi', 'sentence_score': ['deskripsi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",deskripsi, deskripsi,['deskripsi'],1,-1,netral
"pengiriman cepat,penjual ramah,produk ori",pengiriman cepat penjual ramah produk ori,pengiriman cepat penjual ramah produk orisinal,"['pengiriman', 'cepat', 'penjual', 'ramah', 'produk', 'orisinal']","['pengiriman', 'cepat', 'penjual', 'ramah', 'produk', 'orisinal']","['kirim', 'cepat', 'jual', 'ramah', 'produk', 'orisinal']",kirim cepat jual ramah produk orisinal,"{'classified_text': 'kirim cepat [4] jual ramah [4] produk orisinal', 'tweet_text': ' kirim cepat jual ramah produk orisinal', 'sentence_score': ['kirim cepat [4] jual ramah [4] produk orisinal'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] jual ramah [4] produk orisinal, kirim cepat jual ramah produk orisinal,['kirim cepat [4] jual ramah [4] produk orisinal'],4,-1,positif
tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'kulitku', 'jerawat', 'kulitku', 'pori']","['tipe', 'kulit', 'kombinasi', 'kulit', 'jerawat', 'kulit', 'pori']",tipe kulit kombinasi kulit jerawat kulit pori,"{'classified_text': 'tipe kulit kombinasi kulit jerawat kulit pori', 'tweet_text': ' tipe kulit kombinasi kulit jerawat kulit pori', 'sentence_score': ['tipe kulit kombinasi kulit jerawat kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kombinasi kulit jerawat kulit pori, tipe kulit kombinasi kulit jerawat kulit pori,['tipe kulit kombinasi kulit jerawat kulit pori'],1,-1,netral
teksturnya ringan dan gampang menyerap. tapi lama kelamaan kulit jadi rada berminyak di area t zone.,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area zone,teksturnya ringan dan gampang menyerap tapi lama kelamaan kulit jadi rada berminyak di area zone,"['teksturnya', 'ringan', 'dan', 'gampang', 'menyerap', 'tapi', 'lama', 'kelamaan', 'kulit', 'jadi', 'rada', 'berminyak', 'di', 'area', 'zone']","['teksturnya', 'ringan', 'gampang', 'menyerap', 'kulit', 'rada', 'berminyak', 'area', 'zone']","['tekstur', 'ringan', 'gampang', 'serap', 'kulit', 'rada', 'minyak', 'area', 'zone']",tekstur ringan gampang serap kulit rada minyak area zone,"{'classified_text': 'tekstur ringan gampang serap kulit rada minyak area zone', 'tweet_text': ' tekstur ringan gampang serap kulit rada minyak area zone', 'sentence_score': ['tekstur ringan gampang serap kulit rada minyak area zone'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tekstur ringan gampang serap kulit rada minyak area zone, tekstur ringan gampang serap kulit rada minyak area zone,['tekstur ringan gampang serap kulit rada minyak area zone'],1,-1,netral
"packet aman, packing rapih. cuma kurir expedisinya aja blegug, ditungguin dr siang ga nyampe2. eh sore kita ada urusan dadakan dia nyampe kaga ngabarin, pas saya cek dr tokped termyata packet tiba di tujuan padahal di rmh ga ada org, entah ditaro mana sm kurirnya. saya buru2 plg, termyata paketnya diselipin di kusen pintu, kacau sih bukannya kontak saya dl gt. maen diselip aja, gmn coba klo ada pemulung kira itu kotak kardus sampah? bisa ilang paket saya.",packet aman packing rapih cuma kurir expedisinya aja blegug ditungguin dr siang ga nyampe sore kita ada urusan dadakan dia nyampe kaga ngabarin pas saya cek dr tokped termyata packet tiba di tujuan padahal di rmh ga ada org entah ditaro mana sm kurirnya saya buru plg termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dl gt maen diselip aja gmn coba klo ada pemulung kira itu kotak kardus sampah bisa ilang paket saya,packet aman packing rapi cuma kurir expedisinya saja blegug ditungguin dari siang enggak sampai sore kita ada urusan dadakan dia sampai kagak ngabarin pas saya cek dari tokped termyata packet tiba di tujuan padahal di rumah enggak ada orang entah ditaro mana sama kurirnya saya buru pulang termyata paketnya diselipin di kusen pintu kacau sih bukannya kontak saya dulu begitu main diselip saja bagaimana coba kalo ada pemulung kira itu kotak kardus sampah bisa hilang paket saya,"['packet', 'aman', 'packing', 'rapi', 'cuma', 'kurir', 'expedisinya', 'saja', 'blegug', 'ditungguin', 'dari', 'siang', 'enggak', 'sampai', 'sore', 'kita', 'ada', 'urusan', 'dadakan', 'dia', 'sampai', 'kagak', 'ngabarin', 'pas', 'saya', 'cek', 'dari', 'tokped', 'termyata', 'packet', 'tiba', 'di', 'tujuan', 'padahal', 'di', 'rumah', 'enggak', 'ada', 'orang', 'entah', 'ditaro', 'mana', 'sama', 'kurirnya', 'saya', 'buru', 'pulang', 'termyata', 'paketnya', 'diselipin', 'di', 'kusen', 'pintu', 'kacau', 'sih', 'bukannya', 'kontak', 'saya', 'dulu', 'begitu', 'main', 'diselip', 'saja', 'bagaimana', 'coba', 'kalo', 'ada', 'pemulung', 'kira', 'itu', 'kotak', 'kardus', 'sampah', 'bisa', 'hilang', 'paket', 'saya']","['packet', 'aman', 'packing', 'rapi', 'kurir', 'expedisinya', 'blegug', 'ditungguin', 'siang', 'sore', 'urusan', 'dadakan', 'ngabarin', 'cek', 'tokped', 'termyata', 'packet', 'tujuan', 'rumah', 'ditaro', 'kurirnya', 'buru', 'pulang', 'termyata', 'paketnya', 'diselipin', 'kusen', 'pintu', 'kacau', 'kontak', 'main', 'diselip', 'coba', 'pemulung', 'kotak', 'kardus', 'sampah', 'hilang', 'paket']","['packet', 'aman', 'packing', 'rapi', 'kurir', 'expedisinya', 'blegug', 'ditungguin', 'siang', 'sore', 'urus', 'dada', 'ngabarin', 'cek', 'tokped', 'termyata', 'packet', 'tuju', 'rumah', 'ditaro', 'kurir', 'buru', 'pulang', 'termyata', 'paket', 'diselipin', 'kusen', 'pintu', 'kacau', 'kontak', 'main', 'selip', 'coba', 'pulung', 'kotak', 'kardus', 'sampah', 'hilang', 'paket']",packet aman packing rapi kurir expedisinya blegug ditungguin siang sore urus dada ngabarin cek tokped termyata packet tuju rumah ditaro kurir buru pulang termyata paket diselipin kusen pintu kacau kontak main selip coba pulung kotak kardus sampah hilang paket,"{'classified_text': 'packet aman [4] packing rapi [4] kurir expedisinya blegug ditungguin siang sore urus dada ngabarin cek tokped termyata packet tuju rumah ditaro kurir buru pulang termyata paket diselipin kusen pintu kacau [-4] kontak main selip coba pulung kotak kardus sampah [-4] hilang [-4] paket', 'tweet_text': ' packet aman packing rapi kurir expedisinya blegug ditungguin siang sore urus dada ngabarin cek tokped termyata packet tuju rumah ditaro kurir buru pulang termyata paket diselipin kusen pintu kacau kontak main selip coba pulung kotak kardus sampah hilang paket', 'sentence_score': ['packet aman [4] packing rapi [4] kurir expedisinya blegug ditungguin siang sore urus dada ngabarin cek tokped termyata packet tuju rumah ditaro kurir buru pulang termyata paket diselipin kusen pintu kacau [-4] kontak main selip coba pulung kotak kardus sampah [-4] hilang [-4] paket'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",packet aman [4] packing rapi [4] kurir expedisinya blegug ditungguin siang sore urus dada ngabarin cek tokped termyata packet tuju rumah ditaro kurir buru pulang termyata paket diselipin kusen pintu kacau [-4] kontak main selip coba pulung kotak kardus sampah [-4] hilang [-4] paket, packet aman packing rapi kurir expedisinya blegug ditungguin siang sore urus dada ngabarin cek tokped termyata packet tuju rumah ditaro kurir buru pulang termyata paket diselipin kusen pintu kacau kontak main selip coba pulung kotak kardus sampah hilang paket,['packet aman [4] packing rapi [4] kurir expedisinya blegug ditungguin siang sore urus dada ngabarin cek tokped termyata packet tuju rumah ditaro kurir buru pulang termyata paket diselipin kusen pintu kacau [-4] kontak main selip coba pulung kotak kardus sampah [-4] hilang [-4] paket'],4,-4,netral
"alhamdulillah cocok. pembelian kedua, thx u.",alhamdulillah cocok pembelian kedua thx,alhamdulillah cocok pembelian kedua thanks,"['alhamdulillah', 'cocok', 'pembelian', 'kedua', 'thanks']","['cocok', 'pembelian', 'thanks']","['cocok', 'beli', 'thanks']",cocok beli thanks,"{'classified_text': 'cocok [3] beli thanks', 'tweet_text': ' cocok beli thanks', 'sentence_score': ['cocok [3] beli thanks'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] beli thanks, cocok beli thanks,['cocok [3] beli thanks'],3,-1,positif
"semua productnya kusuka.. kalo beli satuan total 5item 220rb. ku cuma beli 170rb, dapet cashback 20rb syenangnya masih dapet free gift pouch kaca n card",semua productnya kusuka kalo beli satuan total item rb ku cuma beli rb dapet cashback rb syenangnya masih dapet free gift pouch kaca card,semua productnya kusuka kalo beli satuan total item ribu ku cuma beli ribu dapat cashback ribu syenangnya masih dapat free gift pouch kaca card,"['semua', 'productnya', 'kusuka', 'kalo', 'beli', 'satuan', 'total', 'item', 'ribu', 'ku', 'cuma', 'beli', 'ribu', 'dapat', 'cashback', 'ribu', 'syenangnya', 'masih', 'dapat', 'free', 'gift', 'pouch', 'kaca', 'card']","['productnya', 'kusuka', 'beli', 'satuan', 'total', 'item', 'ku', 'beli', 'cashback', 'syenangnya', 'gift', 'pouch', 'kaca', 'card']","['productnya', 'suka', 'beli', 'satu', 'total', 'item', 'ku', 'beli', 'cashback', 'syenangnya', 'gift', 'pouch', 'kaca', 'card']",productnya suka beli satu total item ku beli cashback syenangnya gift pouch kaca card,"{'classified_text': 'productnya suka [4] beli satu total item ku beli cashback syenangnya gift pouch kaca card', 'tweet_text': ' productnya suka beli satu total item ku beli cashback syenangnya gift pouch kaca card', 'sentence_score': ['productnya suka [4] beli satu total item ku beli cashback syenangnya gift pouch kaca card'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",productnya suka [4] beli satu total item ku beli cashback syenangnya gift pouch kaca card, productnya suka beli satu total item ku beli cashback syenangnya gift pouch kaca card,['productnya suka [4] beli satu total item ku beli cashback syenangnya gift pouch kaca card'],4,-1,positif
"gemass, warnanya cantikk",gemass warnanya cantikk,gemas warnanya cantik,"['gemas', 'warnanya', 'cantik']","['gemas', 'warnanya', 'cantik']","['gemas', 'warna', 'cantik']",gemas warna cantik,"{'classified_text': 'gemas warna cantik [5]', 'tweet_text': ' gemas warna cantik', 'sentence_score': ['gemas warna cantik [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",gemas warna cantik [5], gemas warna cantik,['gemas warna cantik [5]'],5,-1,positif
repeat order,repeat order,repeat order,"['repeat', 'order']","['repeat', 'order']","['repeat', 'order']",repeat order,"{'classified_text': 'repeat order', 'tweet_text': ' repeat order', 'sentence_score': ['repeat order'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",repeat order, repeat order,['repeat order'],1,-1,netral
