case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'kulitku', 'jerawat', 'kulitku', 'kerutan', 'kulitku', 'pori', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'kombinasi', 'kulit', 'jerawat', 'kulit', 'kerut', 'kulit', 'pori', 'tipe', 'kulit', 'sensitif']",tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut kulit pori tipe kulit sensitif,"{'classified_text': 'tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut [-2] kulit pori tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut kulit pori tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut [-2] kulit pori tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut [-2] kulit pori tipe kulit sensitif [-2], tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut kulit pori tipe kulit sensitif,['tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi kulit jerawat kulit kerut [-2] kulit pori tipe kulit sensitif [-2]'],1,-2,negatif
barang sesuai pesanan,barang sesuai pesanan,barang sesuai pesanan,"['barang', 'sesuai', 'pesanan']",['pesanan'],['pesan'],pesan,"{'classified_text': 'pesan', 'tweet_text': ' pesan', 'sentence_score': ['pesan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",pesan, pesan,['pesan'],1,-1,netral
"pengiriman oke, saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan",pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyaman digunakan,"['pengiriman', 'oke', 'saran', 'untuk', 'facial', 'wash', 'nya', 'mungkin', 'perlu', 'ditambahkan', 'fragrance', 'biar', 'baunya', 'lebih', 'enak', 'soalnya', 'baunya', 'kurang', 'begitu', 'nyaman', 'digunakan']","['pengiriman', 'oke', 'saran', 'facial', 'wash', 'fragrance', 'baunya', 'baunya', 'nyaman']","['kirim', 'oke', 'saran', 'facial', 'wash', 'fragrance', 'bau', 'bau', 'nyaman']",kirim oke saran facial wash fragrance bau bau nyaman,"{'classified_text': 'kirim oke [3] saran facial wash fragrance bau [-4] bau [-5] nyaman [4]', 'tweet_text': ' kirim oke saran facial wash fragrance bau bau nyaman', 'sentence_score': ['kirim oke [3] saran facial wash fragrance bau [-4] bau [-5] nyaman [4]'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}",kirim oke [3] saran facial wash fragrance bau [-4] bau [-5] nyaman [4], kirim oke saran facial wash fragrance bau bau nyaman,['kirim oke [3] saran facial wash fragrance bau [-4] bau [-5] nyaman [4]'],4,-5,negatif
"moga cocok, soalnya dulu cocok bgt pake ini 😍",moga cocok soalnya dulu cocok bgt pake ini,moga cocok soalnya dulu cocok banget pakai ini,"['moga', 'cocok', 'soalnya', 'dulu', 'cocok', 'banget', 'pakai', 'ini']","['cocok', 'cocok', 'banget', 'pakai']","['cocok', 'cocok', 'banget', 'pakai']",cocok cocok banget pakai,"{'classified_text': 'cocok [3] cocok [5] banget pakai', 'tweet_text': ' cocok cocok banget pakai', 'sentence_score': ['cocok [3] cocok [5] banget pakai'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] cocok [5] banget pakai, cocok cocok banget pakai,['cocok [3] cocok [5] banget pakai'],5,-1,positif
pengiriman cepat mantabbb,pengiriman cepat mantabbb,pengiriman cepat mantap,"['pengiriman', 'cepat', 'mantap']","['pengiriman', 'cepat', 'mantap']","['kirim', 'cepat', 'mantap']",kirim cepat mantap,"{'classified_text': 'kirim cepat [4] mantap [5]', 'tweet_text': ' kirim cepat mantap', 'sentence_score': ['kirim cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] mantap [5], kirim cepat mantap,['kirim cepat [4] mantap [5]'],5,-1,positif
alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok.. thank you kurir sicepat & team avoskin,alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,alhamdulillah sudah sampai barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,"['alhamdulillah', 'sudah', 'sampai', 'barangnya', 'dan', 'pengemasan', 'barangnya', 'juga', 'ok', 'thank', 'you', 'kurir', 'sicepat', 'team', 'avoskin']","['barangnya', 'pengemasan', 'barangnya', 'thank', 'kurir', 'sicepat', 'team', 'avoskin']","['barang', 'emas', 'barang', 'thank', 'kurir', 'sicepat', 'team', 'avoskin']",barang emas barang thank kurir sicepat team avoskin,"{'classified_text': 'barang emas [4] barang thank kurir sicepat team avoskin', 'tweet_text': ' barang emas barang thank kurir sicepat team avoskin', 'sentence_score': ['barang emas [4] barang thank kurir sicepat team avoskin'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",barang emas [4] barang thank kurir sicepat team avoskin, barang emas barang thank kurir sicepat team avoskin,['barang emas [4] barang thank kurir sicepat team avoskin'],4,-1,positif
bahannya gampang menyerap,bahannya gampang menyerap,bahannya gampang menyerap,"['bahannya', 'gampang', 'menyerap']","['bahannya', 'gampang', 'menyerap']","['bahan', 'gampang', 'serap']",bahan gampang serap,"{'classified_text': 'bahan gampang serap', 'tweet_text': ' bahan gampang serap', 'sentence_score': ['bahan gampang serap'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",bahan gampang serap, bahan gampang serap,['bahan gampang serap'],1,-1,netral
bagussss,bagussss,bagus,['bagus'],['bagus'],['bagus'],bagus,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
baguusssssss,baguusssssss,bagus,['bagus'],['bagus'],['bagus'],bagus,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
okelahhhhhhhh,okelahhhhhhhh,oke,['oke'],['oke'],['oke'],oke,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",oke [3], oke,['oke [3]'],3,-1,positif
dapat gratis mini pouch.. makasih... semoga cocok,dapat gratis mini pouch makasih semoga cocok,dapat gratis mini pouch terima kasih semoga cocok,"['dapat', 'gratis', 'mini', 'pouch', 'terima', 'kasih', 'semoga', 'cocok']","['gratis', 'mini', 'pouch', 'terima', 'kasih', 'semoga', 'cocok']","['gratis', 'mini', 'pouch', 'terima', 'kasih', 'moga', 'cocok']",gratis mini pouch terima kasih moga cocok,"{'classified_text': 'gratis mini pouch terima kasih [4] moga cocok [3]', 'tweet_text': ' gratis mini pouch terima kasih moga cocok', 'sentence_score': ['gratis mini pouch terima kasih [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",gratis mini pouch terima kasih [4] moga cocok [3], gratis mini pouch terima kasih moga cocok,['gratis mini pouch terima kasih [4] moga cocok [3]'],4,-1,positif
alhamdulillah barangnya udah sampai. semoga ccok dan selau dpt harga diskon yess,alhamdulillah barangnya udah sampai semoga ccok dan selau dpt harga diskon yess,alhamdulillah barangnya sudah sampai semoga cocok dan selau dapat harga diskon yes,"['alhamdulillah', 'barangnya', 'sudah', 'sampai', 'semoga', 'cocok', 'dan', 'selau', 'dapat', 'harga', 'diskon', 'yes']","['barangnya', 'semoga', 'cocok', 'selau', 'harga', 'diskon']","['barang', 'moga', 'cocok', 'selau', 'harga', 'diskon']",barang moga cocok selau harga diskon,"{'classified_text': 'barang moga cocok [3] selau harga diskon', 'tweet_text': ' barang moga cocok selau harga diskon', 'sentence_score': ['barang moga cocok [3] selau harga diskon'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang moga cocok [3] selau harga diskon, barang moga cocok selau harga diskon,['barang moga cocok [3] selau harga diskon'],3,-1,positif
cocok sama produknya,cocok sama produknya,cocok sama produknya,"['cocok', 'sama', 'produknya']","['cocok', 'produknya']","['cocok', 'produk']",cocok produk,"{'classified_text': 'cocok [3] produk', 'tweet_text': ' cocok produk', 'sentence_score': ['cocok [3] produk'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] produk, cocok produk,['cocok [3] produk'],3,-1,positif
sudah berkali-kali beli di toko official ini dan setiap kali pembelian selalu amanah. thx,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks,"['sudah', 'berkali', 'kali', 'beli', 'di', 'toko', 'official', 'ini', 'dan', 'setiap', 'kali', 'pembelian', 'selalu', 'amanah', 'thanks']","['berkali', 'beli', 'toko', 'official', 'pembelian', 'amanah', 'thanks']","['kali', 'beli', 'toko', 'official', 'beli', 'amanah', 'thanks']",kali beli toko official beli amanah thanks,"{'classified_text': 'kali beli toko official beli amanah thanks', 'tweet_text': ' kali beli toko official beli amanah thanks', 'sentence_score': ['kali beli toko official beli amanah thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",kali beli toko official beli amanah thanks, kali beli toko official beli amanah thanks,['kali beli toko official beli amanah thanks'],1,-1,netral
barang nya oke,barang nya oke,barang nya oke,"['barang', 'nya', 'oke']",['oke'],['oke'],oke,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",oke [3], oke,['oke [3]'],3,-1,positif
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'kulitku', 'pori']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'sensitif', 'kulit', 'pori']",tipe kulit minyak tipe kulit sensitif kulit pori,"{'classified_text': 'tipe kulit minyak tipe kulit sensitif [-2] kulit pori', 'tweet_text': ' tipe kulit minyak tipe kulit sensitif kulit pori', 'sentence_score': ['tipe kulit minyak tipe kulit sensitif [-2] kulit pori'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit sensitif [-2] kulit pori, tipe kulit minyak tipe kulit sensitif kulit pori,['tipe kulit minyak tipe kulit sensitif [-2] kulit pori'],1,-2,negatif
tipe kulitku berminyak tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'sensitif']",tipe kulit minyak tipe kulit sensitif,"{'classified_text': 'tipe kulit minyak tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit sensitif [-2], tipe kulit minyak tipe kulit sensitif,['tipe kulit minyak tipe kulit sensitif [-2]'],1,-2,negatif
so far so good for daily use,so far so good for daily use,so far so good for daily use,"['so', 'far', 'so', 'good', 'for', 'daily', 'use']","['far', 'daily', 'use']","['far', 'daily', 'use']",far daily use,"{'classified_text': 'far daily use', 'tweet_text': ' far daily use', 'sentence_score': ['far daily use'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",far daily use, far daily use,['far daily use'],1,-1,netral
"tipe kulitku kombinasi, aku baru pake 1x dan belum keliatan hasilnya. tapi semoga cocok ya",tipe kulitku kombinasi aku baru pake dan belum keliatan hasilnya tapi semoga cocok ya,tipe kulitku kombinasi aku baru pakai dan belum kelihatan hasilnya tapi semoga cocok ya,"['tipe', 'kulitku', 'kombinasi', 'aku', 'baru', 'pakai', 'dan', 'belum', 'kelihatan', 'hasilnya', 'tapi', 'semoga', 'cocok', 'ya']","['tipe', 'kulitku', 'kombinasi', 'pakai', 'hasilnya', 'semoga', 'cocok']","['tipe', 'kulit', 'kombinasi', 'pakai', 'hasil', 'moga', 'cocok']",tipe kulit kombinasi pakai hasil moga cocok,"{'classified_text': 'tipe kulit kombinasi pakai hasil moga cocok [3]', 'tweet_text': ' tipe kulit kombinasi pakai hasil moga cocok', 'sentence_score': ['tipe kulit kombinasi pakai hasil moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",tipe kulit kombinasi pakai hasil moga cocok [3], tipe kulit kombinasi pakai hasil moga cocok,['tipe kulit kombinasi pakai hasil moga cocok [3]'],3,-1,positif
tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'kulitku', 'jerawat', 'kulitku', 'pori']","['tipe', 'kulit', 'kombinasi', 'kulit', 'jerawat', 'kulit', 'pori']",tipe kulit kombinasi kulit jerawat kulit pori,"{'classified_text': 'tipe kulit kombinasi kulit jerawat kulit pori', 'tweet_text': ' tipe kulit kombinasi kulit jerawat kulit pori', 'sentence_score': ['tipe kulit kombinasi kulit jerawat kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kombinasi kulit jerawat kulit pori, tipe kulit kombinasi kulit jerawat kulit pori,['tipe kulit kombinasi kulit jerawat kulit pori'],1,-1,netral
"belum dicoba, semoga cocok di kulit",belum dicoba semoga cocok di kulit,belum dicoba semoga cocok di kulit,"['belum', 'dicoba', 'semoga', 'cocok', 'di', 'kulit']","['dicoba', 'semoga', 'cocok', 'kulit']","['coba', 'moga', 'cocok', 'kulit']",coba moga cocok kulit,"{'classified_text': 'coba moga cocok [3] kulit', 'tweet_text': ' coba moga cocok kulit', 'sentence_score': ['coba moga cocok [3] kulit'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba moga cocok [3] kulit, coba moga cocok kulit,['coba moga cocok [3] kulit'],3,-1,positif
