case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen
akhirnya nemu serum yg cocok 😍,akhirnya nemu serum yg cocok,akhirnya nemu serum yang cocok,"['akhirnya', 'nemu', 'serum', 'yang', 'cocok']","['akhirnya', 'nemu', 'serum', 'cocok']","['akhir', 'nemu', 'serum', 'cocok']",akhir nemu serum cocok,positif
tipe kulitku berminyak,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']","['tipe', 'kulit', 'minyak']",tipe kulit minyak,negatif
"tipe kulitku kering, ternyata besar juga thx seller dan tokped",tipe kulitku kering ternyata besar juga thx seller dan tokped,tipe kulitku kering ternyata besar juga thanks seller dan tokped,"['tipe', 'kulitku', 'kering', 'ternyata', 'besar', 'juga', 'thanks', 'seller', 'dan', 'tokped']","['tipe', 'kulitku', 'kering', 'ternyata', 'besar', 'thanks', 'seller', 'tokped']","['tipe', 'kulit', 'kering', 'nyata', 'besar', 'thanks', 'seller', 'tokped']",tipe kulit kering nyata besar thanks seller tokped,negatif
"good product, thanks seller",good product thanks seller,good product thanks seller,"['good', 'product', 'thanks', 'seller']","['good', 'product', 'thanks', 'seller']","['good', 'product', 'thanks', 'seller']",good product thanks seller,positif
no review found,no review found,no review found,"['no', 'review', 'found']","['no', 'review', 'found']","['no', 'review', 'found']",no review found,netral
"terima kasih banyak, barang sudah diterima 😆",terima kasih banyak barang sudah diterima,terima kasih banyak barang sudah diterima,"['terima', 'kasih', 'banyak', 'barang', 'sudah', 'diterima']","['terima', 'kasih', 'banyak', 'barang', 'diterima']","['terima', 'kasih', 'banyak', 'barang', 'terima']",terima kasih banyak barang terima,positif
produk sudah sampai. tidak ada yang bocor. apply di muka berasa lembap 👍👍,produk sudah sampai tidak ada yang bocor apply di muka berasa lembap,produk sudah sampai tidak ada yang bocor apply di muka berasa lembab,"['produk', 'sudah', 'sampai', 'tidak', 'ada', 'yang', 'bocor', 'apply', 'di', 'muka', 'berasa', 'lembab']","['produk', 'tidak', 'bocor', 'apply', 'muka', 'berasa', 'lembab']","['produk', 'tidak', 'bocor', 'apply', 'muka', 'asa', 'lembab']",produk tidak bocor apply muka asa lembab,positif
"keluarin sunscreen spf 30/35 dong avo team, tapi formulasinya persisi kaya tgs ini, pleasee, buat yang  tipe kulitnya mudah jerawat kaya aku ini",keluarin sunscreen spf dong avo team tapi formulasinya persisi kaya tgs ini pleasee buat yang tipe kulitnya mudah jerawat kaya aku ini,keluarkan sunscreen spf dong avo team tapi formulasinya persis kayak tgs ini please buat yang tipe kulitnya mudah jerawat kayak aku ini,"['keluarkan', 'sunscreen', 'spf', 'dong', 'avo', 'team', 'tapi', 'formulasinya', 'persis', 'kayak', 'tgs', 'ini', 'please', 'buat', 'yang', 'tipe', 'kulitnya', 'mudah', 'jerawat', 'kayak', 'aku', 'ini']","['keluarkan', 'sunscreen', 'spf', 'dong', 'avo', 'team', 'formulasinya', 'persis', 'kayak', 'tgs', 'please', 'buat', 'tipe', 'kulitnya', 'mudah', 'jerawat', 'kayak', 'aku']","['keluar', 'sunscreen', 'spf', 'dong', 'avo', 'team', 'formulasi', 'persis', 'kayak', 'tgs', 'please', 'buat', 'tipe', 'kulit', 'mudah', 'jerawat', 'kayak', 'aku']",keluar sunscreen spf dong avo team formulasi persis kayak tgs please buat tipe kulit mudah jerawat kayak aku,positif
"paket rapih , pengiriman cepat, seblmnya pakai varian ybs dan cocok , smoga cocok yg varian ini",paket rapih pengiriman cepat seblmnya pakai varian ybs dan cocok smoga cocok yg varian ini,paket rapi pengiriman cepat seblmnya pakai varian ybs dan cocok semoga cocok yang varian ini,"['paket', 'rapi', 'pengiriman', 'cepat', 'seblmnya', 'pakai', 'varian', 'ybs', 'dan', 'cocok', 'semoga', 'cocok', 'yang', 'varian', 'ini']","['paket', 'rapi', 'pengiriman', 'cepat', 'seblmnya', 'pakai', 'varian', 'ybs', 'cocok', 'semoga', 'cocok', 'varian']","['paket', 'rapi', 'kirim', 'cepat', 'seblmnya', 'pakai', 'varian', 'ybs', 'cocok', 'moga', 'cocok', 'varian']",paket rapi kirim cepat seblmnya pakai varian ybs cocok moga cocok varian,positif
baru nyoba blom tau hasilnya,baru nyoba blom tau hasilnya,baru mencoba belum tau hasilnya,"['baru', 'mencoba', 'belum', 'tau', 'hasilnya']","['baru', 'mencoba', 'belum', 'tau', 'hasilnya']","['baru', 'coba', 'belum', 'tau', 'hasil']",baru coba belum tau hasil,positif
"yeey dah sampai, semoga cocok di kulit aku. biar menetap di produk avoskin😍😍",yeey dah sampai semoga cocok di kulit aku biar menetap di produk avoskin,yeey deh sampai semoga cocok di kulit aku biar menetap di produk avoskin,"['yeey', 'deh', 'sampai', 'semoga', 'cocok', 'di', 'kulit', 'aku', 'biar', 'menetap', 'di', 'produk', 'avoskin']","['yeey', 'deh', 'semoga', 'cocok', 'kulit', 'aku', 'biar', 'menetap', 'produk', 'avoskin']","['yeey', 'deh', 'moga', 'cocok', 'kulit', 'aku', 'biar', 'tetap', 'produk', 'avoskin']",yeey deh moga cocok kulit aku biar tetap produk avoskin,positif
"barang sampe dengan selamat, packaging bagus, sesuai orderan",barang sampe dengan selamat packaging bagus sesuai orderan,barang sampai dengan selamat packaging bagus sesuai orderan,"['barang', 'sampai', 'dengan', 'selamat', 'packaging', 'bagus', 'sesuai', 'orderan']","['barang', 'selamat', 'packaging', 'bagus', 'sesuai', 'orderan']","['barang', 'selamat', 'packaging', 'bagus', 'sesuai', 'order']",barang selamat packaging bagus sesuai order,positif
"barang sudah sampai, belum mencoba yang ini semoga cocok",barang sudah sampai belum mencoba yang ini semoga cocok,barang sudah sampai belum mencoba yang ini semoga cocok,"['barang', 'sudah', 'sampai', 'belum', 'mencoba', 'yang', 'ini', 'semoga', 'cocok']","['barang', 'belum', 'mencoba', 'semoga', 'cocok']","['barang', 'belum', 'coba', 'moga', 'cocok']",barang belum coba moga cocok,positif
always the best sih ini si avoo... thanks avo.. cucok n kece hasilnya..,always the best sih ini si avoo thanks avo cucok kece hasilnya,always the best sih ini sih avoo thanks avo cocok kece hasilnya,"['always', 'the', 'best', 'sih', 'ini', 'sih', 'avoo', 'thanks', 'avo', 'cocok', 'kece', 'hasilnya']","['always', 'the', 'best', 'sih', 'sih', 'avoo', 'thanks', 'avo', 'cocok', 'kece', 'hasilnya']","['always', 'the', 'best', 'sih', 'sih', 'avoo', 'thanks', 'avo', 'cocok', 'kece', 'hasil']",always the best sih sih avoo thanks avo cocok kece hasil,positif
tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku kering tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku kering tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku kering tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'kombinasi', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'sensitif', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'kerut', 'masalah', 'kulit', 'pori', 'besar']",tipe kulit minyak tipe kulit kombinasi tipe kulit kering tipe kulit normal tipe kulit sensitif masalah kulit jerawat masalah kulit kerut masalah kulit pori besar,negatif
tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'kombinasi', 'masalah', 'kulit', 'kerut', 'masalah', 'kulit', 'pori', 'besar']",tipe kulit kombinasi masalah kulit kerut masalah kulit pori besar,negatif
pembelian kesekian kalinya 👌🏼👌🏼👌🏼👌🏼👌🏼,pembelian kesekian kalinya,pembelian kesekian kalinya,"['pembelian', 'kesekian', 'kalinya']","['pembelian', 'kesekian', 'kalinya']","['beli', 'sekian', 'kali']",beli sekian kali,positif
"rugi banget! bener2 nyesel beli ini toner!! padahal lg coba berpaling dr merk lain, malah dibikin kecewa sm avoskin. beli 100ml, dikirim cuma 20ml aaaaaa 😭😭 chat minta solusi, malah disuruh tunggu sampe senin! bikin nambah emosiiii 😭😭😭 (review dan rating akan sy ganti kalau senin ada solusi ganti rugi)",rugi banget bener nyesel beli ini toner padahal lg coba berpaling dr merk lain malah dibikin kecewa sm avoskin beli ml dikirim cuma ml aaaaaa chat minta solusi malah disuruh tunggu sampe senin bikin nambah emosiiii review dan rating akan sy ganti kalau senin ada solusi ganti rugi,rugi banget benar menyesal beli ini toner padahal lagi coba berpaling dari merk lain malah dibikin kecewa sama avoskin beli ml dikirim cuma ml aaaaaa chat meminta solusi malah disuruh tunggu sampai senin bikin menambah emosi review dan rating akan saya ganti kalau senin ada solusi ganti rugi,"['rugi', 'banget', 'benar', 'menyesal', 'beli', 'ini', 'toner', 'padahal', 'lagi', 'coba', 'berpaling', 'dari', 'merk', 'lain', 'malah', 'dibikin', 'kecewa', 'sama', 'avoskin', 'beli', 'ml', 'dikirim', 'cuma', 'ml', 'aaaaaa', 'chat', 'meminta', 'solusi', 'malah', 'disuruh', 'tunggu', 'sampai', 'senin', 'bikin', 'menambah', 'emosi', 'review', 'dan', 'rating', 'akan', 'saya', 'ganti', 'kalau', 'senin', 'ada', 'solusi', 'ganti', 'rugi']","['rugi', 'banget', 'benar', 'menyesal', 'beli', 'toner', 'padahal', 'coba', 'berpaling', 'merk', 'malah', 'dibikin', 'kecewa', 'sama', 'avoskin', 'beli', 'ml', 'dikirim', 'cuma', 'ml', 'aaaaaa', 'chat', 'meminta', 'solusi', 'malah', 'disuruh', 'tunggu', 'senin', 'bikin', 'menambah', 'emosi', 'review', 'rating', 'ganti', 'kalau', 'senin', 'solusi', 'ganti', 'rugi']","['rugi', 'banget', 'benar', 'sesal', 'beli', 'toner', 'padahal', 'coba', 'paling', 'merk', 'malah', 'bikin', 'kecewa', 'sama', 'avoskin', 'beli', 'ml', 'kirim', 'cuma', 'ml', 'aaaaaa', 'chat', 'minta', 'solusi', 'malah', 'suruh', 'tunggu', 'senin', 'bikin', 'tambah', 'emosi', 'review', 'rating', 'ganti', 'kalau', 'senin', 'solusi', 'ganti', 'rugi']",rugi banget benar sesal beli toner padahal coba paling merk malah bikin kecewa sama avoskin beli ml kirim cuma ml aaaaaa chat minta solusi malah suruh tunggu senin bikin tambah emosi review rating ganti kalau senin solusi ganti rugi,negatif
"alhamdulillah seller sangat komunikatif, gercep, saya baru coba produk ini semoga cocok, aamiin",alhamdulillah seller sangat komunikatif gercep saya baru coba produk ini semoga cocok aamiin,alhamdulillah seller sangat komunikatif gercep saya baru coba produk ini semoga cocok amin,"['alhamdulillah', 'seller', 'sangat', 'komunikatif', 'gercep', 'saya', 'baru', 'coba', 'produk', 'ini', 'semoga', 'cocok', 'amin']","['alhamdulillah', 'seller', 'sangat', 'komunikatif', 'gercep', 'baru', 'coba', 'produk', 'semoga', 'cocok', 'amin']","['alhamdulillah', 'seller', 'sangat', 'komunikatif', 'gercep', 'baru', 'coba', 'produk', 'moga', 'cocok', 'amin']",alhamdulillah seller sangat komunikatif gercep baru coba produk moga cocok amin,positif
"tipe kulitku normal to oily, pori gede, sama komedo di idung. semoga bisa bantu ya xixi",tipe kulitku normal to oily pori gede sama komedo di idung semoga bisa bantu ya xixi,tipe kulitku normal tapi oily pori gede sama komedo di hidung semoga bisa bantu ya xixi,"['tipe', 'kulitku', 'normal', 'tapi', 'oily', 'pori', 'gede', 'sama', 'komedo', 'di', 'hidung', 'semoga', 'bisa', 'bantu', 'ya', 'xixi']","['tipe', 'kulitku', 'normal', 'oily', 'pori', 'gede', 'sama', 'komedo', 'hidung', 'semoga', 'bantu', 'xixi']","['tipe', 'kulit', 'normal', 'oily', 'pori', 'gede', 'sama', 'komedo', 'hidung', 'moga', 'bantu', 'xixi']",tipe kulit normal oily pori gede sama komedo hidung moga bantu xixi,positif
thankyouuu sampe dengan selamat💋🤍,thankyouuu sampe dengan selamat,thank you sampai dengan selamat,"['thank', 'you', 'sampai', 'dengan', 'selamat']","['thank', 'you', 'selamat']","['thank', 'you', 'selamat']",thank you selamat,positif
masalah kulitku jerawat,masalah kulitku jerawat,masalah kulitku jerawat,"['masalah', 'kulitku', 'jerawat']","['masalah', 'kulitku', 'jerawat']","['masalah', 'kulit', 'jerawat']",masalah kulit jerawat,negatif
tipe kulitku kombinasi,tipe kulitku kombinasi,tipe kulitku kombinasi,"['tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'kombinasi']","['tipe', 'kulit', 'kombinasi']",tipe kulit kombinasi,negatif
tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'kombinasi', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'sensitif', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'kerut', 'masalah', 'kulit', 'pori', 'besar']",tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal tipe kulit sensitif masalah kulit jerawat masalah kulit kerut masalah kulit pori besar,negatif
"andalan buat exfo dimalam hari 😁
makasiii tokped yg ngasih promo jadi dapet harga 70k ⚘️⚘️⚘️🔥",andalan buat exfo dimalam hari makasiii tokped yg ngasih promo jadi dapet harga,andalan buat exfo dimalam hari terima kasih tokped yang mengasih promo jadi dapat harga,"['andalan', 'buat', 'exfo', 'dimalam', 'hari', 'terima', 'kasih', 'tokped', 'yang', 'mengasih', 'promo', 'jadi', 'dapat', 'harga']","['andalan', 'buat', 'exfo', 'dimalam', 'hari', 'terima', 'kasih', 'tokped', 'mengasih', 'promo', 'jadi', 'harga']","['andal', 'buat', 'exfo', 'malam', 'hari', 'terima', 'kasih', 'tokped', 'asih', 'promo', 'jadi', 'harga']",andal buat exfo malam hari terima kasih tokped asih promo jadi harga,positif
"sudah pemakaian kesekian kalinya, cocok, toko terpercaya",sudah pemakaian kesekian kalinya cocok toko terpercaya,sudah pemakaian kesekian kalinya cocok toko terpercaya,"['sudah', 'pemakaian', 'kesekian', 'kalinya', 'cocok', 'toko', 'terpercaya']","['pemakaian', 'kesekian', 'kalinya', 'cocok', 'toko', 'terpercaya']","['pakai', 'sekian', 'kali', 'cocok', 'toko', 'percaya']",pakai sekian kali cocok toko percaya,positif
dah lah ga usah diragukan lagi klo avo mah,dah lah ga usah diragukan lagi klo avo mah,deh lah enggak usah diragukan lagi kalo avo mah,"['deh', 'lah', 'enggak', 'usah', 'diragukan', 'lagi', 'kalo', 'avo', 'mah']","['deh', 'lah', 'enggak', 'usah', 'diragukan', 'kalo', 'avo', 'mah']","['deh', 'lah', 'enggak', 'usah', 'ragu', 'kalo', 'avo', 'mah']",deh lah enggak usah ragu kalo avo mah,positif
tipe kulitku berminyak. serumnya agak lama meresap tapi ringan di wajah. gak bikin lengket samsek. semoga beneran bisa mencerahkan ya.,tipe kulitku berminyak serumnya agak lama meresap tapi ringan di wajah gak bikin lengket samsek semoga beneran bisa mencerahkan ya,tipe kulitku berminyak serumnya agak lama meresap tapi ringan di wajah enggak bikin lengket sama sekali semoga benaran bisa mencerahkan ya,"['tipe', 'kulitku', 'berminyak', 'serumnya', 'agak', 'lama', 'meresap', 'tapi', 'ringan', 'di', 'wajah', 'enggak', 'bikin', 'lengket', 'sama', 'sekali', 'semoga', 'benaran', 'bisa', 'mencerahkan', 'ya']","['tipe', 'kulitku', 'berminyak', 'serumnya', 'lama', 'meresap', 'ringan', 'wajah', 'enggak', 'bikin', 'lengket', 'sama', 'sekali', 'semoga', 'benaran', 'mencerahkan']","['tipe', 'kulit', 'minyak', 'serum', 'lama', 'resap', 'ringan', 'wajah', 'enggak', 'bikin', 'lengket', 'sama', 'sekali', 'moga', 'benar', 'cerah']",tipe kulit minyak serum lama resap ringan wajah enggak bikin lengket sama sekali moga benar cerah,positif
tipe kulitku berminyak masalah kulitku pori besar masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku pori besar masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku pori besar masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulit', 'minyak', 'masalah', 'kulit', 'pori', 'besar', 'masalah', 'kulit', 'jerawat']",tipe kulit minyak masalah kulit pori besar masalah kulit jerawat,negatif
barang ori,barang ori,barang orisinal,"['barang', 'orisinal']","['barang', 'orisinal']","['barang', 'orisinal']",barang orisinal,positif
baru mau mencoba semoga cocok dan bagus di kulitku 🥰🥰🤲,baru mau mencoba semoga cocok dan bagus di kulitku,baru mau mencoba semoga cocok dan bagus di kulitku,"['baru', 'mau', 'mencoba', 'semoga', 'cocok', 'dan', 'bagus', 'di', 'kulitku']","['baru', 'mau', 'mencoba', 'semoga', 'cocok', 'bagus', 'kulitku']","['baru', 'mau', 'coba', 'moga', 'cocok', 'bagus', 'kulit']",baru mau coba moga cocok bagus kulit,positif
baru mau mencoba semoga cocok dan hasilnya bagus aamiin 🤲🥰,baru mau mencoba semoga cocok dan hasilnya bagus aamiin,baru mau mencoba semoga cocok dan hasilnya bagus amin,"['baru', 'mau', 'mencoba', 'semoga', 'cocok', 'dan', 'hasilnya', 'bagus', 'amin']","['baru', 'mau', 'mencoba', 'semoga', 'cocok', 'hasilnya', 'bagus', 'amin']","['baru', 'mau', 'coba', 'moga', 'cocok', 'hasil', 'bagus', 'amin']",baru mau coba moga cocok hasil bagus amin,positif
baru nyoba semoga cocok,baru nyoba semoga cocok,baru mencoba semoga cocok,"['baru', 'mencoba', 'semoga', 'cocok']","['baru', 'mencoba', 'semoga', 'cocok']","['baru', 'coba', 'moga', 'cocok']",baru coba moga cocok,positif
barang mantap dan sangat memuaskan👌👍🙏😁,barang mantap dan sangat memuaskan,barang mantap dan sangat memuaskan,"['barang', 'mantap', 'dan', 'sangat', 'memuaskan']","['barang', 'mantap', 'sangat', 'memuaskan']","['barang', 'mantap', 'sangat', 'muas']",barang mantap sangat muas,positif
bikin wajah saya jd lembab dan ga berminyaakkk. cucok!!!,bikin wajah saya jd lembab dan ga berminyaakkk cucok,bikin wajah saya jadi lembab dan enggak berminyak cocok,"['bikin', 'wajah', 'saya', 'jadi', 'lembab', 'dan', 'enggak', 'berminyak', 'cocok']","['bikin', 'wajah', 'jadi', 'lembab', 'enggak', 'berminyak', 'cocok']","['bikin', 'wajah', 'jadi', 'lembab', 'enggak', 'minyak', 'cocok']",bikin wajah jadi lembab enggak minyak cocok,netral
"kualitas serum & moisturizer avoskin top abis deh. worthed to buy.
pengemasan super rapi .
pengiriman cepat
❤👍👍👍👍",kualitas serum moisturizer avoskin top abis deh worthed to buy pengemasan super rapi pengiriman cepat,kualitas serum moisturizer avoskin top habis deh worthed tapi buy pengemasan super rapi pengiriman cepat,"['kualitas', 'serum', 'moisturizer', 'avoskin', 'top', 'habis', 'deh', 'worthed', 'tapi', 'buy', 'pengemasan', 'super', 'rapi', 'pengiriman', 'cepat']","['kualitas', 'serum', 'moisturizer', 'avoskin', 'top', 'habis', 'deh', 'worthed', 'buy', 'pengemasan', 'super', 'rapi', 'pengiriman', 'cepat']","['kualitas', 'serum', 'moisturizer', 'avoskin', 'top', 'habis', 'deh', 'worthed', 'buy', 'emas', 'super', 'rapi', 'kirim', 'cepat']",kualitas serum moisturizer avoskin top habis deh worthed buy emas super rapi kirim cepat,positif
"sesuai , harga murce dapet diskon😍",sesuai harga murce dapet diskon,sesuai harga murce dapat diskon,"['sesuai', 'harga', 'murce', 'dapat', 'diskon']","['sesuai', 'harga', 'murce', 'diskon']","['sesuai', 'harga', 'murce', 'diskon']",sesuai harga murce diskon,positif
