case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma,sentimen
bagus banget. udah repurchase berkali kali.,bagus banget udah repurchase berkali kali,bagus banget sudah repurchase berkali kali,"['bagus', 'banget', 'sudah', 'repurchase', 'berkali', 'kali']","['bagus', 'banget', 'repurchase', 'berkali', 'kali']",bagus banget repurchase berkali kali,positif
sekali pake langsung keliatan efeknya,sekali pake langsung keliatan efeknya,sekali pakai langsung kelihatan efeknya,"['sekali', 'pakai', 'langsung', 'kelihatan', 'efeknya']","['sekali', 'pakai', 'langsung', 'kelihatan', 'efeknya']",sekali pakai langsung kelihatan efeknya,positif
"tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar bagus buat dipakein ini, makasih skingame",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar bagus buat dipakein ini makasih skingame,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar bagus buat dipakein ini terima kasih skingame,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'bagus', 'buat', 'dipakein', 'ini', 'terima', 'kasih', 'skingame']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'bagus', 'buat', 'dipakein', 'terima', 'kasih', 'skingame']",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar bagus buat dipakein terima kasih skingame,negatif
"tekstur nya kental, mudah menyerap, tidak lengket, tidak berbau. melembabkan banget. tapi wadahnya kurang cocok, karena dia kental jadi susah untuk keluarnya, sepertinya lebih enak kalau pump. tipe kulitku kering",tekstur nya kental mudah menyerap tidak lengket tidak berbau melembabkan banget tapi wadahnya kurang cocok karena dia kental jadi susah untuk keluarnya sepertinya lebih enak kalau pump tipe kulitku kering,tekstur nya kental mudah menyerap tidak lengket tidak berbau melembabkan banget tapi wadahnya kurang cocok karena dia kental jadi susah untuk keluarnya sepertinya lebih enak kalau pump tipe kulitku kering,"['tekstur', 'nya', 'kental', 'mudah', 'menyerap', 'tidak', 'lengket', 'tidak', 'berbau', 'melembabkan', 'banget', 'tapi', 'wadahnya', 'kurang', 'cocok', 'karena', 'dia', 'kental', 'jadi', 'susah', 'untuk', 'keluarnya', 'sepertinya', 'lebih', 'enak', 'kalau', 'pump', 'tipe', 'kulitku', 'kering']","['tekstur', 'nya', 'kental', 'mudah', 'menyerap', 'lengket', 'berbau', 'melembabkan', 'banget', 'wadahnya', 'kurang', 'cocok', 'kental', 'jadi', 'susah', 'keluarnya', 'sepertinya', 'lebih', 'enak', 'kalau', 'pump', 'tipe', 'kulitku', 'kering']",tekstur nya kental mudah menyerap lengket berbau melembabkan banget wadahnya kurang cocok kental jadi susah keluarnya sepertinya lebih enak kalau pump tipe kulitku kering,positif
"nyaman banget dipakenya! kayak creamy gitu tapi kok ringan??? harganya juga affordable, gak kalah sama moist punyaku sebelumnya yang harga 2x lipat :”) cucoooook!!!",nyaman banget dipakenya kayak creamy gitu tapi kok ringan harganya juga affordable gak kalah sama moist punyaku sebelumnya yang harga lipat cucoooook,nyaman banget dipakai kayak creamy begitu tapi kok ringan harganya juga affordable enggak kalah sama moist punyaku sebelumnya yang harga lipat cucoooook,"['nyaman', 'banget', 'dipakai', 'kayak', 'creamy', 'begitu', 'tapi', 'kok', 'ringan', 'harganya', 'juga', 'affordable', 'enggak', 'kalah', 'sama', 'moist', 'punyaku', 'sebelumnya', 'yang', 'harga', 'lipat', 'cucoooook']","['nyaman', 'banget', 'dipakai', 'kayak', 'creamy', 'kok', 'ringan', 'harganya', 'affordable', 'enggak', 'kalah', 'sama', 'moist', 'punyaku', 'sebelumnya', 'harga', 'lipat', 'cucoooook']",nyaman banget dipakai kayak creamy kok ringan harganya affordable enggak kalah sama moist punyaku sebelumnya harga lipat cucoooook,positif
tipe kulitku kombinasi masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku kombinasi masalah kulitku pori besar,negatif
tipe kulitku berminyak,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']",tipe kulitku berminyak,negatif
selalu worth for money dan melembapkan,selalu worth for money dan melembapkan,selalu worth for money dan melembapkan,"['selalu', 'worth', 'for', 'money', 'dan', 'melembapkan']","['selalu', 'worth', 'for', 'money', 'melembapkan']",selalu worth for money melembapkan,netral
"walaupun dia gel watery tapi cukup butuh waktu agak lama sampai benar² meresap di kulit setelah pakai toner & serum. tapi untuk hasilnya lembab dan tidak mengkilap di kulit yg berminyak, berasa kenyal² gtu.",walaupun dia gel watery tapi cukup butuh waktu agak lama sampai benar meresap di kulit setelah pakai toner serum tapi untuk hasilnya lembab dan tidak mengkilap di kulit yg berminyak berasa kenyal gtu,walaupun dia gel watery tapi cukup butuh waktu agak lama sampai benar meresap di kulit setelah pakai toner serum tapi untuk hasilnya lembab dan tidak mengkilap di kulit yang berminyak berasa kenyal begitu,"['walaupun', 'dia', 'gel', 'watery', 'tapi', 'cukup', 'butuh', 'waktu', 'agak', 'lama', 'sampai', 'benar', 'meresap', 'di', 'kulit', 'setelah', 'pakai', 'toner', 'serum', 'tapi', 'untuk', 'hasilnya', 'lembab', 'dan', 'tidak', 'mengkilap', 'di', 'kulit', 'yang', 'berminyak', 'berasa', 'kenyal', 'begitu']","['walaupun', 'gel', 'watery', 'cukup', 'butuh', 'waktu', 'lama', 'benar', 'meresap', 'kulit', 'pakai', 'toner', 'serum', 'hasilnya', 'lembab', 'mengkilap', 'kulit', 'berminyak', 'berasa', 'kenyal']",walaupun gel watery cukup butuh waktu lama benar meresap kulit pakai toner serum hasilnya lembab mengkilap kulit berminyak berasa kenyal,positif
tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku pori besar,negatif
cocok untuk kulit berminyak,cocok untuk kulit berminyak,cocok untuk kulit berminyak,"['cocok', 'untuk', 'kulit', 'berminyak']","['cocok', 'kulit', 'berminyak']",cocok kulit berminyak,positif
thanks udah ciptain moist ini dan slalu update promo,thanks udah ciptain moist ini dan slalu update promo,thanks sudah menciptakan moist ini dan selalu update promo,"['thanks', 'sudah', 'menciptakan', 'moist', 'ini', 'dan', 'selalu', 'update', 'promo']","['thanks', 'menciptakan', 'moist', 'selalu', 'update', 'promo']",thanks menciptakan moist selalu update promo,netral
belum coba namun terimakasih atas free giftnya,belum coba namun terimakasih atas free giftnya,belum coba namun terima kasih atas free giftnya,"['belum', 'coba', 'namun', 'terima', 'kasih', 'atas', 'free', 'giftnya']","['coba', 'terima', 'kasih', 'atas', 'free', 'giftnya']",coba terima kasih atas free giftnya,positif
barang bagus sesuai packing mantap terima kasih 😊🙏.,barang bagus sesuai packing mantap terima kasih,barang bagus sesuai packing mantap terima kasih,"['barang', 'bagus', 'sesuai', 'packing', 'mantap', 'terima', 'kasih']","['barang', 'bagus', 'sesuai', 'packing', 'mantap', 'terima', 'kasih']",barang bagus sesuai packing mantap terima kasih,positif
"pengirimannya cepet banget, bibtang limaaaaaaaaaa",pengirimannya cepet banget bibtang limaaaaaaaaaa,pengirimannya cepat banget bibtang limaaaaaaaaaa,"['pengirimannya', 'cepat', 'banget', 'bibtang', 'limaaaaaaaaaa']","['pengirimannya', 'cepat', 'banget', 'bibtang', 'limaaaaaaaaaa']",pengirimannya cepat banget bibtang limaaaaaaaaaa,positif
"lembut bgt di kulit, mantap bgt ngelembabinnya padahal kulitku lagi sensitif dan kering bgt sampe ngelupas tapi pake moist ini ga perih samsekk. trs ada wangi almondnya dikit",lembut bgt di kulit mantap bgt ngelembabinnya padahal kulitku lagi sensitif dan kering bgt sampe ngelupas tapi pake moist ini ga perih samsekk trs ada wangi almondnya dikit,lembut banget di kulit mantap banget ngelembabinnya padahal kulitku lagi sensitif dan kering banget sampai ngelupas tapi pakai moist ini enggak perih samsekk terus ada wangi almondnya dikit,"['lembut', 'banget', 'di', 'kulit', 'mantap', 'banget', 'ngelembabinnya', 'padahal', 'kulitku', 'lagi', 'sensitif', 'dan', 'kering', 'banget', 'sampai', 'ngelupas', 'tapi', 'pakai', 'moist', 'ini', 'enggak', 'perih', 'samsekk', 'terus', 'ada', 'wangi', 'almondnya', 'dikit']","['lembut', 'banget', 'kulit', 'mantap', 'banget', 'ngelembabinnya', 'padahal', 'kulitku', 'sensitif', 'kering', 'banget', 'ngelupas', 'pakai', 'moist', 'enggak', 'perih', 'samsekk', 'terus', 'wangi', 'almondnya', 'dikit']",lembut banget kulit mantap banget ngelembabinnya padahal kulitku sensitif kering banget ngelupas pakai moist enggak perih samsekk terus wangi almondnya dikit,positif
andalan sejak 2020! sangat suka perubahan dri hari ke hari,andalan sejak sangat suka perubahan dri hari ke hari,andalan sejak sangat suka perubahan dari hari ke hari,"['andalan', 'sejak', 'sangat', 'suka', 'perubahan', 'dari', 'hari', 'ke', 'hari']","['andalan', 'sejak', 'sangat', 'suka', 'perubahan', 'hari', 'hari']",andalan sejak sangat suka perubahan hari hari,positif
"a fan of the moisturizer, loved that it came in a bundle!",fan of the moisturizer loved that it came in bundle,fan of the moisturizer loved that itu came ini bundle,"['fan', 'of', 'the', 'moisturizer', 'loved', 'that', 'itu', 'came', 'ini', 'bundle']","['fan', 'of', 'the', 'moisturizer', 'loved', 'that', 'came', 'bundle']",fan of the moisturizer loved that came bundle,netral
"tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar tp cocok pakai ini, thank you",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar tp cocok pakai ini thank you,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar tapi cocok pakai ini thank you,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tapi', 'cocok', 'pakai', 'ini', 'thank', 'you']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'cocok', 'pakai', 'thank', 'you']",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar cocok pakai thank you,negatif
barang bagus sesuai pesanannya. packing aman,barang bagus sesuai pesanannya packing aman,barang bagus sesuai pesanannya packing aman,"['barang', 'bagus', 'sesuai', 'pesanannya', 'packing', 'aman']","['barang', 'bagus', 'sesuai', 'pesanannya', 'packing', 'aman']",barang bagus sesuai pesanannya packing aman,positif
baguusss banget ini udah beli kedua kali,baguusss banget ini udah beli kedua kali,bagus banget ini sudah beli kedua kali,"['bagus', 'banget', 'ini', 'sudah', 'beli', 'kedua', 'kali']","['bagus', 'banget', 'beli', 'kedua', 'kali']",bagus banget beli kedua kali,positif
tekstur nya bagus ngga lengket... tipe kulitku berminyak,tekstur nya bagus ngga lengket tipe kulitku berminyak,tekstur nya bagus enggak lengket tipe kulitku berminyak,"['tekstur', 'nya', 'bagus', 'enggak', 'lengket', 'tipe', 'kulitku', 'berminyak']","['tekstur', 'nya', 'bagus', 'enggak', 'lengket', 'tipe', 'kulitku', 'berminyak']",tekstur nya bagus enggak lengket tipe kulitku berminyak,positif
"appreciate dusnya shipping tuh kokoh bgt, jadi box dari produknya gaada cacat samsek. botol moisturizer nya jg kokoh. untuk formulasinya baru pakai sekali jd gabisa bilang banyak tp so far kelembabannya ok bgt di kulit normalku",appreciate dusnya shipping tuh kokoh bgt jadi box dari produknya gaada cacat samsek botol moisturizer nya jg kokoh untuk formulasinya baru pakai sekali jd gabisa bilang banyak tp so far kelembabannya ok bgt di kulit normalku,appreciate dusnya shipping tuh kokoh banget jadi box dari produknya enggak ada cacat sama sekali botol moisturizer nya juga kokoh untuk formulasinya baru pakai sekali jadi enggak bisa bilang banyak tapi so far kelembabannya ok banget di kulit normalku,"['appreciate', 'dusnya', 'shipping', 'tuh', 'kokoh', 'banget', 'jadi', 'box', 'dari', 'produknya', 'enggak', 'ada', 'cacat', 'sama', 'sekali', 'botol', 'moisturizer', 'nya', 'juga', 'kokoh', 'untuk', 'formulasinya', 'baru', 'pakai', 'sekali', 'jadi', 'enggak', 'bisa', 'bilang', 'banyak', 'tapi', 'so', 'far', 'kelembabannya', 'ok', 'banget', 'di', 'kulit', 'normalku']","['appreciate', 'dusnya', 'shipping', 'tuh', 'kokoh', 'banget', 'jadi', 'box', 'produknya', 'enggak', 'cacat', 'sama', 'sekali', 'botol', 'moisturizer', 'nya', 'kokoh', 'formulasinya', 'baru', 'pakai', 'sekali', 'jadi', 'enggak', 'bilang', 'banyak', 'so', 'far', 'kelembabannya', 'banget', 'kulit', 'normalku']",appreciate dusnya shipping tuh kokoh banget jadi box produknya enggak cacat sama sekali botol moisturizer nya kokoh formulasinya baru pakai sekali jadi enggak bilang banyak so far kelembabannya banget kulit normalku,positif
"so far so goooood! keep the good work, skingame.",so far so goooood keep the good work skingame,so far so goooood keep the good work skingame,"['so', 'far', 'so', 'goooood', 'keep', 'the', 'good', 'work', 'skingame']","['so', 'far', 'so', 'goooood', 'keep', 'the', 'good', 'work', 'skingame']",so far so goooood keep the good work skingame,netral
tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku berminyak masalah kulitku pori besar,negatif
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat']",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat,negatif
tipe kulitku berminyak masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat']",tipe kulitku berminyak masalah kulitku jerawat,negatif
"barangnya udah sampai, tapi belum dicoba. nanti edit review kalau udh dicoba 👍",barangnya udah sampai tapi belum dicoba nanti edit review kalau udh dicoba,barangnya sudah sampai tapi belum dicoba nanti edit review kalau sudah dicoba,"['barangnya', 'sudah', 'sampai', 'tapi', 'belum', 'dicoba', 'nanti', 'edit', 'review', 'kalau', 'sudah', 'dicoba']","['barangnya', 'dicoba', 'edit', 'review', 'kalau', 'dicoba']",barangnya dicoba edit review kalau dicoba,netral
semoga cocok,semoga cocok,semoga cocok,"['semoga', 'cocok']","['semoga', 'cocok']",semoga cocok,positif
"tipe kulitku berminyak, nyaman dipake dan semoga cocok",tipe kulitku berminyak nyaman dipake dan semoga cocok,tipe kulitku berminyak nyaman dipakai dan semoga cocok,"['tipe', 'kulitku', 'berminyak', 'nyaman', 'dipakai', 'dan', 'semoga', 'cocok']","['tipe', 'kulitku', 'berminyak', 'nyaman', 'dipakai', 'semoga', 'cocok']",tipe kulitku berminyak nyaman dipakai semoga cocok,positif
"udah pembelian ketiga, tekstur moisturizernya watery dan agak lengket di wajah setelah kering tapi nyaman pakainya dan cocok aja di aku, kemasan barunya juga lucu dan udah airless pump jadi ga ribet kayak kemasan sebelumnya yg harus ngorek sisa di dalam botol 😭
btw paketku ini sempat bermasalah karena order dari tgl 22 april sampai tengah bulan mei belum sampai juga, tapi karena adminnya komunikatif dan pihak tokped juga bantu telusur akhirnya sampai juga di tangan walaupun kardus luarnya udah penyok sana sini tapi untungnya bagian dalam masih aman banget 👍",udah pembelian ketiga tekstur moisturizernya watery dan agak lengket di wajah setelah kering tapi nyaman pakainya dan cocok aja di aku kemasan barunya juga lucu dan udah airless pump jadi ga ribet kayak kemasan sebelumnya yg harus ngorek sisa di dalam botol btw paketku ini sempat bermasalah karena order dari tgl april sampai tengah bulan mei belum sampai juga tapi karena adminnya komunikatif dan pihak tokped juga bantu telusur akhirnya sampai juga di tangan walaupun kardus luarnya udah penyok sana sini tapi untungnya bagian dalam masih aman banget,sudah pembelian ketiga tekstur moisturizernya watery dan agak lengket di wajah setelah kering tapi nyaman pakainya dan cocok saja di aku kemasan barunya juga lucu dan sudah airless pump jadi enggak ribet kayak kemasan sebelumnya yang harus ngorek sisa di dalam botol btw paketku ini sempat bermasalah karena order dari tanggal april sampai tengah bulan mei belum sampai juga tapi karena adminnya komunikatif dan pihak tokped juga bantu telusur akhirnya sampai juga di tangan walaupun kardus luarnya sudah penyok sana sini tapi untungnya bagian dalam masih aman banget,"['sudah', 'pembelian', 'ketiga', 'tekstur', 'moisturizernya', 'watery', 'dan', 'agak', 'lengket', 'di', 'wajah', 'setelah', 'kering', 'tapi', 'nyaman', 'pakainya', 'dan', 'cocok', 'saja', 'di', 'aku', 'kemasan', 'barunya', 'juga', 'lucu', 'dan', 'sudah', 'airless', 'pump', 'jadi', 'enggak', 'ribet', 'kayak', 'kemasan', 'sebelumnya', 'yang', 'harus', 'ngorek', 'sisa', 'di', 'dalam', 'botol', 'btw', 'paketku', 'ini', 'sempat', 'bermasalah', 'karena', 'order', 'dari', 'tanggal', 'april', 'sampai', 'tengah', 'bulan', 'mei', 'belum', 'sampai', 'juga', 'tapi', 'karena', 'adminnya', 'komunikatif', 'dan', 'pihak', 'tokped', 'juga', 'bantu', 'telusur', 'akhirnya', 'sampai', 'juga', 'di', 'tangan', 'walaupun', 'kardus', 'luarnya', 'sudah', 'penyok', 'sana', 'sini', 'tapi', 'untungnya', 'bagian', 'dalam', 'masih', 'aman', 'banget']","['pembelian', 'ketiga', 'tekstur', 'moisturizernya', 'watery', 'lengket', 'wajah', 'kering', 'nyaman', 'pakainya', 'cocok', 'aku', 'kemasan', 'barunya', 'lucu', 'airless', 'pump', 'jadi', 'enggak', 'ribet', 'kayak', 'kemasan', 'sebelumnya', 'ngorek', 'sisa', 'botol', 'btw', 'paketku', 'sempat', 'bermasalah', 'order', 'tanggal', 'april', 'tengah', 'bulan', 'mei', 'adminnya', 'komunikatif', 'pihak', 'tokped', 'bantu', 'telusur', 'akhirnya', 'tangan', 'walaupun', 'kardus', 'luarnya', 'penyok', 'sana', 'sini', 'untungnya', 'bagian', 'aman', 'banget']",pembelian ketiga tekstur moisturizernya watery lengket wajah kering nyaman pakainya cocok aku kemasan barunya lucu airless pump jadi enggak ribet kayak kemasan sebelumnya ngorek sisa botol btw paketku sempat bermasalah order tanggal april tengah bulan mei adminnya komunikatif pihak tokped bantu telusur akhirnya tangan walaupun kardus luarnya penyok sana sini untungnya bagian aman banget,positif
baaaaaafus,baaaaaafus,baaaaaafus,['baaaaaafus'],['baaaaaafus'],baaaaaafus,negatif
"botolnya dibuat biar ngga cepet kotor, suka banget!! productnya bikin jerawat kita kering dan ngga makin parah",botolnya dibuat biar ngga cepet kotor suka banget productnya bikin jerawat kita kering dan ngga makin parah,botolnya dibuat biar enggak cepat kotor suka banget productnya bikin jerawat kita kering dan enggak makin parah,"['botolnya', 'dibuat', 'biar', 'enggak', 'cepat', 'kotor', 'suka', 'banget', 'productnya', 'bikin', 'jerawat', 'kita', 'kering', 'dan', 'enggak', 'makin', 'parah']","['botolnya', 'dibuat', 'biar', 'enggak', 'cepat', 'kotor', 'suka', 'banget', 'productnya', 'bikin', 'jerawat', 'kering', 'enggak', 'makin', 'parah']",botolnya dibuat biar enggak cepat kotor suka banget productnya bikin jerawat kering enggak makin parah,negatif
"proses cepat, pengemasan aman.",proses cepat pengemasan aman,proses cepat pengemasan aman,"['proses', 'cepat', 'pengemasan', 'aman']","['proses', 'cepat', 'pengemasan', 'aman']",proses cepat pengemasan aman,positif
